StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,participant_id,partner1_ID,partner2_ID,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,belief_dissim_self_general_1,conf_dissim_self_general_1,belief_dissim_other_general_1,conf_dissim_other_general_1,belief_sim_self_general_1,conf_sim_self_general_1,belief_sim_other_general_1,conf_sim_other_general_1,thought1_dissim_self_general_1,thought2_dissim_self_general_1,thoughtvalence1_dissim_self_general_1,thoughtvalence2_dissim_self_general_1,thought1_dissim_other_general_1,thought2_dissim_other_general_1,thoughtvalence1_dissim_other_general_1,thoughtvalence2_dissim_other_general_1,thought1_sim_self_general_1,thought2_sim_self_general_1,thoughtvalence1_sim_self_general_1,thoughtvalence2_sim_self_general_1,thought1_sim_other_general_1,thought2_sim_other_general_1,thoughtvalence1_sim_other_general_1,thoughtvalence2_sim_other_general_1,race_during,belief_dissim_self_race_1,conf_dissim_self_race_1,belief_dissim_other_race_1,conf_dissim_other_race_1,belief_sim_self_race_1,conf_sim_self_race_1,belief_sim_other_race_1,conf_sim_other_race_1,thought1_dissim_self_race_1,thought2_dissim_self_race_1,thoughtvalence1_dissim_self_race_1,thoughtvalence2_dissim_self_race_1,thought1_dissim_other_race_1,thought2_dissim_other_race_1,thoughtvalence1_dissim_other_race_1,thoughtvalence2_dissim_other_race_1,thought1_sim_self_race_1,thought2_sim_self_race_1,thoughtvalence1_sim_self_race_1,thoughtvalence2_sim_self_race_1,thought1_sim_other_race_1,thought2_sim_other_race_1,thoughtvalence1_sim_other_race_1,thoughtvalence2_sim_other_race_1,pw,belief_dissim_self_general_2,conf_dissim_self_general_2,belief_dissim_other_general_2,conf_dissim_other_general_2,belief_sim_self_general_2,conf_sim_self_general_2,belief_sim_other_general_2,conf_sim_other_general_2,thought1_dissim_self_general_2,thought2_dissim_self_general_2,thoughtvalence1_dissim_self_general_2,thoughtvalence2_dissim_self_general_2,thought1_dissim_other_general_2,thought2_dissim_other_general_2,thoughtvalence1_dissim_other_general_2,thoughtvalence2_dissim_other_general_2,thought1_sim_self_general_2,thought2_sim_self_general_2,thoughtvalence1_sim_self_general_2,thoughtvalence2_sim_self_general_2,thought1_sim_other_general_2,thought2_sim_other_general_2,thoughtvalence1_sim_other_general_2,thoughtvalence2_sim_other_general_2,belief_dissim_self_race_2,conf_dissim_self_race_2,belief_dissim_other_race_2,conf_dissim_other_race_2,belief_sim_self_race_2,conf_sim_self_race_2,belief_sim_other_race_2,conf_sim_other_race_2,thought1_dissim_self_race_2,thought2_dissim_self_race_2,thoughtvalence1_dissim_self_race_2,thoughtvalence2_dissim_self_race_2,thought1_dissim_other_race_2,thought2_dissim_other_race_2,thoughtvalence1_dissim_other_race_2,thoughtvalence2_dissim_other_race_2,thought1_sim_self_race_2,thought2_sim_self_race_2,thoughtvalence1_sim_self_race_2,thoughtvalence2_sim_self_race_2,thought1_sim_other_race_2,thought2_sim_other_race_2,thoughtvalence1_sim_other_race_2,thoughtvalence2_sim_other_race_2,password2,know_partner1,discuss_Qs,age,sex,race,penn_yr,penn_yr_8_TEXT,language,language_2_TEXT,eng
9/27/24 9:06,9/27/24 9:48,0,128.91.114.43,100,2500,1,12946,13396,15487,9/27/24 9:48,R_3OWOEzoU3ohDOdb,,,,,39.952,-75.1814,anonymous,EN,3,3,4,3,2,2,4,3,2,2,5,3,5,3,5,5,5,6,7,7,6,4,7,7,6,5,I would be curious about what they like to do,I would want to know how they view life,6,6,they will think that I am outgoing,I want to know them better,6,6,they are super similar to me,we think about life in the same way,6,6,she is a cool person,also maybe values the same things as me?,6,6,2,7,7,6,6,7,7,6,6,they are a cool person,i would want to get to know them more,6,6,she is fun to talk to,she values a lot of the same things as me,6,6,they have a similar background as me,we can relate to race-related topics,6,5,they are a cool person,we have a similar background,6,6,apple,7,7,7,7,7,7,7,7,they are in a lot of cool clubs,"they're very different than me, but its not a bad thing",7,7,she is super different than me ,does cool stuff that i could be interested in,7,7,we have a similar background,there are still things that differ and its cool to hear about them,7,7,we initially talk about things that we relate to,but also she does stuff that i don't know about,7,7,7,7,7,7,7,7,7,7,they are in cool clubs that school,their interests are so cool!,7,7,she is very active at school,does a lot of cool things!,7,7,does a lot on campus - very involved at school,"fun energy - bubbly, outgoing, and easy to talk with",7,7,"They look similar to me, and that's definitely something that we can talk about. ",I would want to know about them in ways that don't relate to race ,7,7,grape,2,no,20,2,2,2,,2,cantonese,5
9/27/24 9:06,9/27/24 9:48,0,128.91.113.81,100,2499,1,16483,16501,13396,9/27/24 9:48,R_7Pdst4CvquErrSF,,,,,39.952,-75.1814,anonymous,EN,2,2,3,2,2,2,2,2,3,2,6,2,2,6,5,5,5,3,6,3,6,3,5,5,5,4,will our personalities mesh?,will we find something in common?,2,3,Maybe we have something in common,in what ways are we different?,4,3,good - we'll have something in common,It should be easy to mesh,6,4,perhaps we have something in common,It should be easy to get along,4,5,6,6,7,5,4,5,7,6,3,what can I learn from them? Perhaps their background/upbringing was interesting,race doesn't really matter - we must have something in common.,6,4,What can we find in common?,What happens if we don't find anything in common?,4,3,"""white"" is a broad term, so we may or may not have anything in common",I'm used to talking with people of all backgrounds so it doesn't really make a difference,3,4,good - it should be easy to get along,we might share similar backgrounds - although other factors are important too,5,4,apple,6,7,6,5,6,7,5,4,"Even if we have different personalities, we can still get along.",Maybe their differences will contribute to a good conversation. ,5,6,It doesn't matter that we have different personality types,How can we complement each other?,4,5,It should be easy - the conversation will be pleasant,I shouldn't stress anything - we are compatible,5,4,We will have lots of things in common,We will mesh well together ,5,5,6,7,6,4,6,7,6,4,Race doesn't play a factor ,"even if we have different backgrounds, our conversation will be pleasant",5,6,I don't see race - we'll have a nice convo,I'm indifferent to race - I want to get to know him,6,6,Having a conversation should come easy,I don't have to worry about him judging me ,5,4,I feel less anxious about a cultural barrier getting into the way,we have something in common right off the bat,4,5,grape,2,no,19,1,6,2,,1,,5
9/27/24 9:06,9/27/24 9:48,0,128.91.113.252,100,2505,1,13396,12946,16501,9/27/24 9:48,R_6LCl580TBuirbIE,,,,,39.952,-75.1814,anonymous,EN,3,2,3,1,4,1,3,4,2,1,2,4,7,4,7,3,2,5,6,6,6,5,6,6,6,6,Interesting,Informative,6,6,Interesting,New,5,5,Experiences,Similar,6,6,Similar,Interesting,6,6,6,6,6,6,6,6,6,6,6,Intersting,New,6,6,Interesting,New,6,6,Similar,Intersting,6,6,Similar,Interesting,6,6,apple,5,5,4,5,5,5,5,5,They would like to know more about me as we have different personalities,Will be intersting,6,6,Interesting,Different personalities,5,4,Maybe it will be a bit boring,Similar way of talking,4,5,Interesting to cover some similar topics,A bit tiring to talk to people again,5,5,5,5,5,5,5,5,5,5,Interesting to know their point of view on things,Interesting to learn about their experiences,5,6,Interesting to get to know,Topics to discuss,7,7,Interesting to share experiences,Learn how they perceive different things,7,6,Interesting to share experiences,Insightful,7,7,grape,2,No,19,1,6,2,,2,Armenian,5
9/27/24 9:06,9/27/24 9:48,0,128.91.113.190,100,2505,1,16468,15487,11650,9/27/24 9:48,R_7n9s1Y7zvOTYBoD,,,,,39.952,-75.1814,anonymous,EN,2,3,3,3,2,2,3,4,4,1,1,4,3,4,4,5,5,7,5,4,4,2,5,6,5,4,I wonder what energy this person gives off and whether or not they will be easy to talk to. I don't know anything about their personality so I am curious to get to know them and see how different they are.,"I hope that this person will not be disagreeable with me and will be a good listener, because that is something I look for in people I talk to.",5,3,I think my partner might be curious about what I am like and how my personality either clashes or agrees with theirs.,I think my partner could also be cautious and unsure about whether or not they will mesh well with my personality in our conversation.,5,4,"I wonder how similar this person is to me, and whether or not I will be able to see glimpses of myself through them.",I wonder if getting to know this person will actually make me dislike certain parts of my own personality.,4,2,I think my partner might wonder how similar I am to them and try to get to know my personality better through our conversation by asking specific personality questions that may reflect who I am.,I think my partner may also be curious to see if they disagree that we have the same personality type.,5,4,8,7,7,6,5,6,7,5,6,I wonder how this person's background and experiences differ from my own and how that has shaped them as a person.,I wonder what common interests we have as people that come from possibly different backgrounds.,6,6,I wonder what this person experiences and what their background consists of.,I wonder whether or not this person has a similar personality to me.,5,4,I wonder how similar we are as individuals and whether we have shared experiences to speak upon.,I wonder what differences we have as nobody has the exact same background as another.,5,5,How similar is this person to me and what commonalities do we share?,Does this person follow the same traditions that I do or are there many differences?,5,5,apple,5,6,5,4,5,5,4,5,I wonder how different this person is from me and what interest they have that could be unique to them.,I wonder if this person will enjoy talking with me as well.,5,4,"I think they might wonder about my interests, similarities, and differences.",I think they might be curious about my personality and how it differs from their own.,5,5,I wonder how similar this person actually is to me and what things we both enjoy.,I wonder if this person is actually as similar to me as our personalities claim or if we are still very different.,5,4,I think they might wonder how similar we are to each other and try to pick out the personality traits we both share.,I think they might be curious about what I do for fun and if it is similar or different to things they do.,4,5,7,7,7,7,6,7,6,5,Where are they from and what background experiences have shaped them?,What is this partner studying and why did they choose this?,5,5,Where is this person from and do they have any interesting background experiences to talk about?,What interests does this person have and what do they enjoy doing in their free time?,5,6,Where is this partner from and do they share anything cultural with me?,What things from our background and childhood are similar versus different?,6,5,How similar is this person to me and is there any racial reason for this?,Will I notice significant similarities between us or are we still relatively different?,5,4,grape,2,No,19,2,8,2,,1,,5
9/27/24 9:06,9/27/24 9:48,0,128.91.113.164,100,2503,1,11650,15481,16468,9/27/24 9:48,R_5QANbct1XU7AouN,,,,,39.952,-75.1814,anonymous,EN,2,4,1,3,2,2,2,3,4,3,4,2,3,5,5,4,4,6,5,4,5,4,6,5,5,4,I wonder how different this person will be from me. Are they going to be more talkative and think I'm shy and weird?,I'm excited to get to talk to this person to see how they are different from me. Maybe we will balance each other out.,3,5,I wonder if we will get along since we have different personalities. Maybe they won't like me.,I'm interested in getting to talk to this person and see if we have similar interests. Maybe we could be friends. ,4,5,I am excited to talk to this person since it says we have similar personalities. I think we will get along.,I wonder if we have similar life experiences or not. I think we will have some of the same interests.,5,4,I'm excited to talk to this person that has the same personality as me. I think the conversation will go well.,I wonder if we have similar interests and would be good friends. I wonder if there's a chance we don't get along.,5,4,6,5,5,5,4,5,5,5,4,I wonder if we have similar personalities. Maybe we could be friends.,I wonder if they will like talking to me or not. I hope the conversation goes well.,4,5,I wonder if we will have similar life experiences and understandings since we aren't the same race. It will be interesting to talk to them.,I hope we have a good conversation and have similar personalities. It would be nice to be interested in the same kinds of things.,4,5,I wonder if we will have similar personalities and will get along while we talk. Hopefully they are talkative.,I wonder if we had similar experiences growing up and will be able to relate to each other. It would be nice if so.,4,5,I wonder if they are shy or talkative. I hope that the conversation goes well.,I'm interested in getting to know them and seeing how we are similar or different. ,4,5,apple,5,5,5,4,5,5,5,4,I wonder how similar or different we are since we have different personalities. I think we could have a good conversation.,I wonder if they will think I'm too shy if they are talkative. I wonder if they will judge me.,4,3,I'm excited to see how we might be different. I think we could balance each other out.,I'm excited to learn where they are from and about their life experience. It will be interesting to compare to mine.,5,5,I wonder if we are studying similar things and will get a long. I feel like we might have similar interests.,I wonder if we had similar experiences growing up. I'm excited for the conversation.,4,5,I'm excited to see how similar we are since we have similar personalities. I think we will get along.,I wonder if we will actually end up being different. If we are both shy will the conversation be awkward.,5,3,5,5,5,4,5,5,5,4,I am excited to talk to this person. I wonder if we will be very different or similar from each other.,I hope we have something in common to talk about. Maybe we will have similar interests or majors.,5,4,I'm interested in getting to know this person. I hope we have a good conversation.,I wonder if we will have similar interests. I hope there's something in common.,5,4,I'm excited to get to know this person. I wonder how much we have in common or not.,I hope there's something for us to talk about. Maybe we have similar majors or interests.,5,4,I'm interested in getting to know this person. I hope the conversation goes well.,I wonder if we will be very similar or different. I hope we are similar and get along.,5,4,grape,2,No,21,2,6,4,,1,,5
9/27/24 9:06,9/27/24 9:48,0,128.91.114.178,100,2509,1,16045,20119,19852,9/27/24 9:48,R_5SJ2Vc2vWB2xyHs,,,,,39.952,-75.1814,anonymous,EN,3,2,4,2,3,4,4,3,2,2,5,5,5,1,4,6,7,7,5,1,5,2,7,5,6,2,They are going to be slightly different than me so I am assuming they are not going to be as talkative and I would probably have to lead or carryon the conversation,We would probably have differing opinions or thoughts on many things which makes me wonder how well we would get along,4,2,Probably that they don't want to talk to me because I am different from them and they don't want to talk to someone who is so different from their personality,They are curious what aspects of my personality are different from theirs and how we would get along together.,1,4,I wonder how they talk and what type of questions they will ask me. I am curious if how they interact with me is similar to how I would interact with others.,"I am excited to talk to them to see if I do actually think we are similar, and also to talk to someone who apparently is very similar in personality type to me.",6,7,I think they are interested and excited to talk to someone who is similar to themselves and they are just as curious as I am to meet them and have a conversation with them.,They are wondering if I will be talkative or quiet and are wondering if we will match energies and level of extrovertedness. ,7,5,6,7,7,5,2,7,7,5,2,"I am interested to see how our personalities match seeing as I currently know nothing about the person, that makes me more interested to meet them.",Wonder if we are different or similar and in what specific ways those are.,7,6,They wonder who I am and what I am like as a person.,Maybe they are curious what race I am,7,4,"I wonder again what their personality is like since I currently know nothing about them, it makes me more interested to meet them and get to know them to see.",I again wonder how similar or different we are in personality,7,6,I think they wonder if we are similar in personality and if so in which ways,They are maybe wondering how out going or quiet I am in comparison to themselves,7,5,apple,6,2,5,2,7,4,6,3,Are we going to be different and if so how different are we going to be,Will we get along or will us being different affect how we communicate,5,3,Maybe they wonder if we are going to get along since we are different.,They are probably wondering in which ways we will be different and who will carry the conversation and ask which quesitons,3,5,I am excited to talk to them and curious if I think they are similar to me ,I wonder if the way they talk to me is similar to the way I feel I talk to others,7,7,They are curious if we are both going to be as outgoing and if we are going to agree since we are similar in personality,They are excited to meet someone who is similar to themselves and to see how we interact,7,7,7,7,6,2,7,7,6,2,"I am curious if our personalities will get along, since i know nothing about them as a person, i wonder how they are and it makes me more excited to get to know them",I am curious what we will talk about and if we will get along,7,5,I bet they wonder what my personality is like and if we will get along and if so in what ways,Maybe they wonder what race I am,7,4,They want to get to know me and are curious how i am as a person,they wonder what aspects of our personalities are same or different,7,6,I am curious how they are as a person and what traits we have in common or how we are different,I am curious in which ways we are the same and in what ways we are different and how we will get along since i know none of those things,7,5,grape,2,no,19,2,6,2,,1,,5
9/27/24 9:06,9/27/24 9:48,0,128.91.114.154,100,2507,1,19852,19768,16045,9/27/24 9:48,R_7t4hhFU5dZEl5v3,,,,,39.952,-75.1814,anonymous,EN,4,4,4,2,4,2,2,2,2,4,6,2,4,7,5,7,5,7,6,4,5,6,6,6,5,5,we are very similar in the sense we are self reflective but at the same time outgoing. we are both the listeners an the leaders of discussions when it comes to peers.,were both quiet in big rooms but sllightly louder in large ones.,5,4,"how are we different, because the numbers are different.",we must have some overlapping qualities but what are they?,4,4,we are similar,we both are loud and quiet,4,4,we have similar qualities meaning that we are reserved people that enjoy social behaviors,we both enjoy the company of others but strongly respect our need to be alone and do so constantly,4,4,6,7,5,5,6,5,5,5,6,why does our race have some sort of correlation with our excitement to speak with eachother?,do our races affect conversation with one another?,2,2,what race are you and how does it differ from mine?,how are our experiences different/similar?,3,3,how are we similar because of race or different?,how are our experiences the same/differnet because of our racial similarity'?,3,3,do we have similar experinces?,how are conversatoins wih other races?,4,4,apple,6,6,6,6,4,6,5,6,what is school like for you?,how are we similar or different because our numbers are different,4,4,how are you and how are you liking school?,"what ,makes you 4 and me 2?",3,3,how are we similar because we have the same number? ,what year are you'?,4,4,what are they like?,what made you choose to come to the study today?,4,4,6,6,6,6,5,5,5,5,how has school been for you? do we have different answers because our races being different suggests we have different experiences?,what is your class schedule ;ike? wjat are your focuses during school this year?,4,4,what has school been like for you?,how has your experience at penn been? is it different from mine?,4,4,how are you liking school so far?,where are you from/what are you studying?,4,4,what made you participaate in this study?,what are some of your goals?,4,4,grape,2,no,18,2,6,1,,1,,5
9/27/24 9:06,9/27/24 9:48,0,128.91.113.88,100,2516,1,20119,16045,15481,9/27/24 9:48,R_7Lccr7nTvEPWAH5,,,,,39.952,-75.1814,anonymous,EN,2,2,2,1,2,1,1,4,3,1,4,2,6,5,5,5,6,7,5,6,6,6,6,6,6,6,"I would like to talk to my partner because they have a different personality type, so it would be interesting to see what kind of person they are. I would rather talk with someone with a different personality type to see how we differ.","I anticipate that we will be asked a certain number of questions and have to agree or disagree, or would have to rate the strength of our answer on a scale.",6,4,I believe my partner would like to get to know my personality as we differ. My partner could also be interested in seeing how we differ.,My partner will strongly agree or disagree with certain points.,5,4,I believe that we will agree on a lot of things as we have same personalities. ,I feel like we would have a smoother conversation than compared with talking to someone with a different personality.,6,6,My partner will see that we agree on a lot of things.,My partner would have an easier time talking to me compared with others with a different personality. ,5,6,2,6,6,4,3,5,6,4,3,I believe that we will have some differences in some experiences and topics brought up.,I will get to know more about a person's cultural influences by talking to them.,4,6,My partner will have some pre0-set thoughts already implemented due to my race.,My partner will be excited to learn more about me.,7,3,I believe we will get along really quickly. The conversation will be smooth and easy-going.,I will be able to relate to many experiences as this person. ,7,5,My partner will also probably believe that we will have a lot of common things to talk about. ,My partner will be able to find a lot of common ground as we speak. ,7,5,apple,5,5,5,5,7,7,5,5,Now I think there will be no difference in talking to someone with a different personality.,The conversation might be carried by one person depending on who is more extroverted,6,6,My partner will probably be looking forward to talk to me.,My partner will expect that we will talk about different things during our conversation. ,6,5,I believe we will have the same level of outgoingness.,I believe that we will have no difficulty in continuing the conversation. ,5,5,My partner will be expecting that we will have the same level of outgoingness.,My partner will expect that we bring up similar topics.,5,5,7,7,5,4,5,5,4,4,I think that we will have different attitudes when talking about certain topics.,I believe that we will mention our race in the conversation.,5,7,My partner will not be easily able to relate to my experiences and things i bring up. ,My partner will be excited to talk to me.,5,6,My partner will be easily able to talk to me and share similar experiences.,My partner will have a less stressful time stirring up conversation.,5,5,Im excited to talk to them.,I do not believe we will have a hard time making conversation.,5,5,grape,2,No,18,1,2,2,,1,,5
9/27/24 9:06,9/27/24 9:48,0,128.91.113.52,100,2517,1,14674,16393,15850,9/27/24 9:48,R_3cTleUakXOWMrKR,,,,,39.952,-75.1814,anonymous,EN,5,4,5,4,3,4,4,3,4,5,4,2,2,1,5,7,6,2,5,5,2,5,6,6,5,4,"I wonder if this person will be very quiet and shy, since I am outgoing and we have different personalities.  I wonder if it will be hard for them to open up.",I wonder if this person will seem boring to me because they may be less creative and carefree.  I'm glad I'm creative and outgoing and I would not want to have personality type 2.,3,2,Maybe they think that I am irresponsible since I wrote that I am carefree and often late to things.  Maybe they will judge me for it,Maybe they will envy my outgoingness and wish that they were as extraverted and social as I am. ,2,3,I am excited to meet someone similar to me.  I hope that they will be very outgoing and that it will be easy to become friends with them.,"I am excited to see what creative ideas we could come up with together.  I hope we both think outside the box,",7,6,"Maybe they are nervous because sometimes when people are too similar, they don't get along that well.  Maybe they will wish I had personality type 2.",Maybe they are also really excited to get to know me because of how extraverted and social we both are.  They know we will get along well.,2,6,6,5,5,5,3,5,5,5,3,It will be interesting to get to know someone with a different background and identity to me.  I hope I can learn more about their life and their culture.,I want to be respectful of them and not do anything that could be construed as offensive.,6,4,Maybe they will not be interested in getting to know me since white people are historically perpetrators of racism and colonialism.  That would be valid if so.,Maybe they don't care at all about my race.  Race is not that important when it comes to getting to know someone.,1,5,This person is the same race as me so maybe we share similar backgrounds and life experiences.  We can compare our lives and see if they have been similar.,I don't really care about race in general when it comes to meeting someone so I think talking to p1 vs p2 would not be that different for me.,6,4,"Maybe they see our race as the ""default"" and so they will not even notice my race when we meet.   Maybe they will only pay attention to race when it deviates from ours.",Maybe they are excited to see how our life experiences and cultures could have been similar.,4,6,apple,5,5,5,5,6,6,6,6,I wonder if this person will be quiet and reserved and will not want to get to know someone as outgoing as me.,I hope we can find things in common to talk about even though we are different.,3,3,Maybe they will judge me for being the type of person who can be irresponsible and runs late.,Maybe they will be put off by how outgoing and talkative I am.,2,2,I am excited to meet someone extraverted and outgoing as me.  I bet we will click quickly and become friends.,I bet we will both be creative and can talk about our creative pursuits together.,7,7,"I bet they will be thinking that they're excited to get to know someone who is extraverted and social, and not shy.  I hope they think I'm easy to talk to.",I wonder if they will think our personalities are too similar and wish I had a different personality to balance them out.,6,3,5,5,5,5,5,5,5,5,It will be interesting to learn about someone's background and identity that is different from mine.,I want to be respectful of this person and be mindful to not say anything that could be construed as offensive.,5,3,Maybe they will be hesitant to become friends because of the history of white people's racism.,Maybe they will not pay any mind to my race because it really doesn't matter these days.,3,4,Maybe they will think that we have had similar life experiences and cultural experiences that we can bond over.  It will be interesting to see what we have in common.,Maybe they will not even notice my race as some people see it as the default.,6,4,Maybe it will be easy getting to know this person rather than someone of a different race.  There will not be a language barrier and we will likely have similar cultural backgrounds.,I do not really care about race when I am meeting new people.  When I meet another white person I try to be mindful of our privilege.,5,4,grape,2,"No, we just talked about our lives and time at Penn and not our personalities or race.",21,2,6,4,,1,,5
9/27/24 9:06,9/27/24 9:48,0,128.91.113.90,100,2532,1,15850,13948,14674,9/27/24 9:48,R_3szequVMA2s4CPb,,,,,39.952,-75.1814,anonymous,EN,2,2,2,3,2,2,1,3,2,3,3,2,5,3,5,2,2,2,5,4,3,2,2,5,5,4,It may be that the partner will talk more than me,"I don't think my partner will be too excited to talk to me. However, they may be interested in some things I say.",5,3,They are thinking about potential topics. For example. what are the easiest topics to break ice,They are wondering what type of personality my type is - will I be more/less outgoing than them?,6,6,I think that the conversation will not be too exciting. We will be too reserved to actually share interesting stuff. ,We will be discussing school. ,2,4,They are probably anxious about talking to a stranger. ,"They are thinking about  possible topics. Most likely, school, sports, classes. ",3,5,6,6,5,3,4,6,5,5,6,What upbringing did they have,What do they think about my race,5,4,Where I am from,What am I going to do after I graduate,5,5,What sports do I enjoy doing,Which country am I from,6,6,What classes I am taking,They will be interested in knowing why I signed up for the study,6,5,apple,5,5,6,5,4,6,4,3,We will talk about classes. ,The conversation will stay around safe topics (not politics),4,3,They will be wondering what I do on a day-to-day basis. ,They will be excited to tell me about their plans.,5,5,I wonder if they have a lot of friends on campus. ,I wonder how they spend their free time. ,5,4,They are probably considering which topics to stay around. ,They wonder if this conversation will be more dynamic than the one with the other persoanlity type ,5,3,6,5,6,6,4,5,5,3,I wonder what their upbringing is. Are they from the US?,I wonder who they are going to vote for in the upcoming election. ,5,5,Which race is this person going to be,Is this person racist? Will they assume things about me? ,5,3,"What year is this person? (Junior, senior etc.)",Where are they from? Are they American?,5,6,What high school did they go to? ,What sports does this person do? ,4,6,grape,2,"Yes. We talked about classes in my first conversation, and we talked about where we are from in both. ",21,1,6,4,,2,Russian,4
9/27/24 9:06,9/27/24 9:48,0,128.91.114.139,100,2533,1,16393,14674,16393,9/27/24 9:48,R_7X50sWZ1hnjhCpL,,,,,39.952,-75.1814,anonymous,EN,5,4,4,3,1,2,4,3,4,2,2,4,5,2,5,7,5,5,6,5,3,4,6,6,6,6,"Because we have distinct personality, they might have different views than me ","Because we might be different, I'm ,excited to get to know them more",3,6,Conversation partner might think it's harder to get along with me,Conversation partner might think they have to adapt to ensure our different personalities might make things awkward,3,2,I think we can get along well,I think that I will have a great conversation,6,6,They might have a good expectation before the conversation knowing we're on the same wavelength,They might find it interesting to have someone from the same personality group,7,6,2,6,6,5,6,5,6,5,5,I love meeting new people especially from different backgrounds,It would be interesting to get to know new fun stuff i've never known before,6,6,They might get anxious to talk to someone of different races,They could also be open to getting to know people from different backgrounds,3,5,I'm excited to see what are the overlapping interests we might have,I'm excited to be able to get along with quoting something we both can relate to,6,6,They might be more comfortable talking to me,They might have lower likelihood to change the way they speak  ,6,5,apple,5,5,4,4,6,6,5,6,Im excited to get to know them even when we have different personalities,I might have to add a bit more effort to not make the conversation awkward,6,4,This person might think I have different expectations out of the conversation,This person might also be excited to talk to me,3,5,I would be excited i think we can vibe along well,I believe that we will have an interesting conversation,5,6,They might be more calm when talking to me,They might be open to know what I'm up to,5,6,6,6,4,4,5,5,6,5,I would be more careful on what I say to not offend them,I should keep an open mind when talking to them,3,5,They might think there is a language barrier between us,They might be more reserved to not say things that might offend me,2,4,They might be more open in the conversation,They might be more engaged in the conversation,6,6,I think I can be more myself with them,I think we can have longer conversations with them,6,7,grape,2,No I have not spoken about what I responded in the survey,21,2,2,2,,2,Malay,5
9/27/24 9:06,9/27/24 9:48,0,128.91.113.201,100,2536,1,16501,16483,16393,9/27/24 9:48,R_7t5wHWHWed7k5Zc,,,,,39.952,-75.1814,anonymous,EN,1,2,3,2,1,1,3,2,3,2,3,1,1,2,6,5,5,5,7,6,4,4,7,6,5,5,Where they are from,What grade they are in,7,7,What my name is,Where I am from,6,6,How is school going,Where they are from,6,6,What my name is,Where I am from,6,6,2,7,7,6,6,7,7,5,4,Where are you from?,How has school been for you,6,6,Where I am from,What food is good ,6,6,What ethnicity are you,Where you grew up,7,7,What ethnicity am I,How has that affected your experience in school,7,5,apple,7,7,6,6,7,7,6,6,What your name is,Where are you from,7,7,What my name is,What my major is,7,7,What your name is,Where are you from,7,7,I think we'll talk about our experiences in school,We'll have similar dynamics so it'd be easier to talk,7,7,7,7,6,6,7,7,6,6,We'd ask where we're from,We'll be interested in learning about different race,6,6,We'd be interested in knowing where we're from,I feel like they'd be interested in knowing what food is good,6,4,We'd bond over our shared experiences,We can relate to each other more,7,7,I would wonder how their culture experience has affected their school life,I'd wonder where they are from,6,6,grape,2,"I don't think so, besides the regular what your name is.",19,2,2,2,,1,,5
9/27/24 9:06,9/27/24 9:49,0,128.91.113.98,100,2540,1,19768,19852,13948,9/27/24 9:49,R_73aEWjwqfQduMEM,,,,,39.952,-75.1814,anonymous,EN,4,4,4,2,2,2,4,4,3,2,4,3,6,4,6,6,5,7,5,5,5,5,6,7,6,6,Their background (where they are from and what experiences they had growing up),What they think of me,6,5,What similarities and differences we have,Are they interesting,5,4,What we have in common,Do i make them feel like they can be their self,5,5,What do we have in common,What are their hobbies,5,5,8,6,6,5,5,6,6,6,6,Where are they from,What cultural differences do we have,6,6,Where did you grow up,How are we alike and different,6,6,Do we share same cultural beliefs,Have we grown up with similar experiences,6,6,We will get along,How are we alike from one another,6,6,apple,6,6,6,6,5,5,5,5,What can I learn from them,Do we have anything in common,6,6,How can we connect with one another,What are some common grounds,6,6,What experiences do we share,How are we alike ,6,6,Where do we have similarities,How are we different ,6,6,6,6,5,5,5,5,5,5,What can i learn from them,Do we come from similar upbringings and share same values,6,6,What common ground do we have,What can I learn from them,6,6,Do we share same cultural values,How are we alike and different,6,6,How are we alike,How are we different ,6,6,grape,2,"Yes, we talked about where we are from, tried to find common ground like classes, extra curricular groups, people, etc",19,2,8,2,,1,,5
