StartDate,EndDate,Duration (in seconds),Finished,ResponseId,participant_id,Personalitytest_1,Personalitytest_2,Personalitytest_3,Personalitytest_4,Personalitytest_5,Personalitytest_6,Personalitytest_7,Personalitytest_8,Personalitytest_9,Personalitytest_10,TIPIQuestions_1,TIPIQuestions_2,TIPIQuestions_3,TIPIQuestions_4,TIPIQuestions_5,TIPIQuestions_6,TIPIQuestions_7,TIPIQuestions_8,sim_other1,sim_other2,sim_other,sim_self1,sim_self2,sim_self,dissim_self1,dissim_self2,dissim_self,dissim_other1,dissim_other2,dissim_other,sim_choice_sim_first,dissim_choice_sim_first,dissim_choice_dissim_first,sim_choice_dissim_first,sim_choice,dissim_choice,similar_same,similar_diff,age,sex,race,feedback,Sam_IB1,Sam_IB4,Alex_IB4,Sam_IB3
3/1/23 8:52,3/1/23 9:03,629,1,R_2CsvwExRI39UWmM,10,2,3,2,2,3,2,2,3,3,3,5,3,3,6,5,2,2,6,4,5,4.5,4,4,4,4,4,4,4,4,4,,,3,3,3,3,1,1,37,1,5,,A mask,I don't see any of those things,A mustache,Fire
3/1/23 8:54,3/1/23 9:00,355,1,R_RlfrY9OZQWX0GRj,11,2,3,3,4,1,4,3,1,4,3,4,3,2,4,4,6,6,6,5,5,5,5,5,5,3,3,3,2,2,2,5,3,,,5,3,6,3,25,2,5,,A pelvis,An old woman,Poodles,A wolf
3/1/23 8:54,3/1/23 9:05,639,1,R_3lU4rd8Jxrtu4db,12,2,4,1,2,2,2,2,4,4,4,4,4,6,7,5,2,5,2,5,3,4,4,3,3.5,3,2,2.5,3,2,2.5,,,3,5,5,3,4,2,34,1,5,I have nothing to share at this time,A pelvis,Poodles,An old woman,A wolf
3/1/23 8:55,3/1/23 9:02,476,1,R_ufBstoTkFMjQTfP,13,4,5,3,4,4,1,1,1,5,2,6,1,2,6,6,5,3,6,6,7,6.5,6,7,6.5,7,7,7,7,7,7,6,7,,,6,7,7,5,43,1,1,,A pelvis,An old woman,Poodles,I don't see any of those things
3/1/23 8:55,3/1/23 9:01,345,1,R_3Ea28V12X2P8OFS,14,2,2,1,2,4,5,1,2,2,3,5,6,3,7,3,2,5,6,3,3,3,2,1,1.5,2,1,1.5,3,2,2.5,1,1,,,1,1,2,1,25,1,5,,A rabbit,A mustache,Kissing animals,A mask
3/1/23 8:56,3/1/23 9:04,475,1,R_3Jf8WgKjPy866os,15,3,4,1,4,3,3,2,1,4,3,2,3,3,6,7,4,3,2,7,5,6,7,5,6,5,5,5,4,6,5,,,4,6,6,4,7,3,56,2,5,,A mask,I don't see any of those things,A mustache,A wolf
3/1/23 8:57,3/1/23 9:04,375,1,R_1F3aEP27VZ6EZ0o,16,2,2,2,2,3,2,2,3,3,2,2,4,4,6,4,2,3,6,5,5,5,6,5,5.5,3,3,3,3,3,3,6,3,,,6,3,6,3,51,2,5,,I don't see any of those things,A mustache,Kissing animals,A mask
3/1/23 8:57,3/1/23 9:05,462,1,R_1hTfrn1Uwp7F9hr,17,2,4,1,5,4,2,2,2,4,4,7,3,3,6,6,2,3,7,6,5,5.5,4,5,4.5,5,5,5,4,5,4.5,,,3,3,3,3,5,3,33,1,5,,A pelvis,I don't see any of those things,Kissing animals,A butterfly
3/1/23 8:58,3/1/23 9:06,478,1,R_3exKS7HWhNPdsZS,18,2,4,4,2,2,2,3,2,4,5,1,3,5,5,6,5,2,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,,,4,4,4,4,53,2,5,nope,A pelvis,Kissing animals,I don't see any of those things,Fire
3/1/23 9:02,3/1/23 9:10,479,1,R_2uswABbBHsRJMPT,19,1,5,5,5,3,1,1,3,5,1,1,1,7,7,7,7,5,7,7,7,7,7,7,7,4,4,4,6,6,6,7,4,,,7,4,7,2,35,2,5,not at this time,An X-Ray,A mustache,Poodles,A mask
3/1/23 9:03,3/1/23 9:12,538,1,R_3D14mYGPtZxhSFo,20,2,3,1,3,1,3,1,1,3,1,6,4,1,2,2,3,6,1,4,4,4,4,4,4,3,4,3.5,4,4,4,,,4,4,4,4,4,4,38,2,6,,I don't see any of those things,An old woman,Poodles,I don't see any of those things
3/1/23 9:03,3/1/23 9:08,310,1,R_1P18vk7manuIqCs,21,2,4,4,4,2,2,3,1,5,3,6,3,6,5,5,7,5,6,6,5,5.5,5,4,4.5,5,3,4,5,4,4.5,,,4,5,5,4,5,3,23,1,5,nope!,An X-Ray,Poodles,An old woman,A mask
3/1/23 9:04,3/1/23 9:10,385,1,R_3Jql3OnCAsV4cgz,22,2,2,4,2,3,2,4,2,3,3,4,4,6,5,4,6,4,7,4,4,4,4,4,4,4,4,4,4,4,4,,,4,4,4,4,5,4,59,2,5,,I don't see any of those things,Kissing animals,I don't see any of those things,I don't see any of those things
3/1/23 9:05,3/1/23 9:12,436,1,R_8FZQNp2bunUm7D3,23,4,3,2,3,4,3,2,3,4,3,6,5,5,3,6,5,6,5,5,4,4.5,5,5,5,5,5,5,5,5,5,,,5,4,4,5,5,3,47,2,1,,An X-Ray,Kissing animals,A mustache,A butterfly
3/1/23 9:06,3/1/23 9:10,241,1,R_1rIAaXilGPZB5pj,24,1,4,1,4,2,2,1,4,3,3,1,2,7,6,6,3,1,5,7,7,7,7,7,7,1,1,1,1,1,1,7,1,,,7,1,7,1,29,1,1,,An X-Ray,Poodles,A mustache,A wolf
3/1/23 9:07,3/1/23 9:12,338,1,R_3gU6YWsbGSCTxf4,25,2,2,3,2,2,2,2,1,2,2,6,6,2,7,2,2,6,6,5,5,5,5,5,5,3,3,3,3,3,3,5,2,,,5,2,5,2,33,2,5,,An X-Ray,An old woman,Kissing animals,I don't see any of those things
3/1/23 9:07,3/1/23 9:12,342,1,R_3CNS6oyzUSdwxou,26,1,1,3,5,1,5,3,1,1,5,1,1,2,7,6,3,7,3,6,6,6,6,6,6,5,5,5,4,4,4,7,5,,,7,5,7,4,46,2,5,,A rabbit,I don't see any of those things,An old woman,A mask
3/1/23 9:07,3/1/23 9:15,440,1,R_3s64U3LYiRcTmgQ,27,2,4,1,4,2,2,1,2,4,2,5,3,5,7,3,3,5,6,5,5,5,5,2,3.5,4,2,3,3,3,3,3,2,,,3,2,5,3,29,1,5,,A pelvis,A mustache,I don't see any of those things,A wolf
3/1/23 9:08,3/1/23 9:23,927,1,R_usoSfpP1FISR0iJ,28,3,4,3,4,3,3,2,2,4,3,5,2,4,4,6,5,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,5,5,5,5,36,1,2,,A mask,A mustache,An old woman,Fire
3/1/23 9:08,3/1/23 9:14,341,1,R_1l9L7Jvl0xBvQa5,29,2,3,4,4,1,4,3,2,3,2,2,3,5,5,5,5,5,7,4,3,3.5,4,3,3.5,4,3,3.5,4,3,3.5,4,4,,,4,4,5,4,20,2,5,,A pelvis,Kissing animals,A mustache,Fire
3/1/23 9:08,3/1/23 9:18,590,1,R_1OBMhw205BlsXRU,30,1,2,3,4,3,3,2,2,4,4,5,3,6,5,7,3,2,6,5,5,5,5,4,4.5,5,5,5,5,5,5,,,6,6,6,6,5,4,39,1,5,,I don't see any of those things,A mustache,An old woman,A mask
3/1/23 9:08,3/1/23 9:16,421,1,R_2rqZNPiW6W0paHg,31,4,4,3,2,3,2,2,1,3,2,6,2,2,4,6,5,6,6,4,4,4,5,5,5,4,5,4.5,3,3,3,5,4,,,5,4,5,3,27,2,5,,I don't see any of those things,A mustache,I don't see any of those things,I don't see any of those things
3/1/23 9:09,3/1/23 9:13,238,1,R_3qg4QFYduJSjAyT,32,4,5,4,4,3,2,2,2,5,2,2,2,2,2,6,6,7,7,6,6,6,6,6,6,5,4,4.5,5,3,4,,,5,7,7,5,7,5,24,2,5,,A rabbit,Poodles,I don't see any of those things,A butterfly
3/1/23 9:09,3/1/23 9:15,372,1,R_3KACdLhwdXp50kr,33,2,4,2,4,3,3,1,1,5,4,7,3,2,5,6,3,6,4,5,5,5,6,6,6,4,5,4.5,3,5,4,,,4,5,5,4,5,3,44,1,5,,I don't see any of those things,A mustache,Poodles,Fire
3/1/23 9:09,3/1/23 9:19,591,1,R_2fliWLpKTVfECKL,34,4,4,5,4,1,4,4,2,4,4,5,3,6,4,6,6,5,7,6,6,6,6,6,6,4,4,4,3,3,3,6,4,,,6,4,6,4,56,1,5,,A pelvis,I don't see any of those things,An old woman,A butterfly
3/1/23 9:09,3/1/23 9:15,349,1,R_2Yu0bCVYPgOt52D,35,2,4,1,4,3,2,3,3,4,4,4,5,3,5,5,5,5,4,6,5,5.5,5,5,5,4,4,4,4,4,4,6,5,,,6,5,6,4,23,1,1,,I don't see any of those things,Kissing animals,A mustache,Fire
3/1/23 9:09,3/1/23 9:16,387,1,R_3e9QA1SrrvA1b2s,36,2,4,2,4,1,4,2,2,4,4,5,2,5,2,5,6,5,6,5,5,5,6,6,6,6,6,6,4,5,4.5,,,7,7,7,7,4,4,45,2,5,,A pelvis,I don't see any of those things,An old woman,Fire
3/1/23 9:09,3/1/23 9:14,296,1,R_ZymFPm82WNQBHi1,37,1,3,1,3,3,4,1,1,4,2,6,3,3,7,6,1,6,7,4,4,4,5,4,4.5,3,3,3,1,1,1,,,2,5,5,2,6,2,41,2,3,,A rabbit,An old woman,Kissing animals,I don't see any of those things
3/1/23 9:10,3/1/23 9:16,325,1,R_1GCj62yuXr5RZBN,38,2,3,4,3,1,4,4,2,3,4,4,2,3,4,4,7,4,7,4,5,4.5,5,7,6,4,7,5.5,2,2,2,5,5,,,5,5,6,3,55,1,5,,An X-Ray,An old woman,Poodles,I don't see any of those things
3/1/23 9:10,3/1/23 9:17,410,1,R_3QGEPJI3HX4MUeK,39,1,2,1,2,3,2,1,2,1,2,3,6,3,7,2,1,2,6,4,4,4,4,4,4,3,3,3,4,4,4,,,4,4,4,4,4,3,24,2,1,,An X-Ray,Poodles,Kissing animals,A wolf
3/1/23 9:11,3/1/23 9:36,1484,1,R_1lxGuMm1T6A95RQ,40,3,4,2,4,4,3,2,3,4,3,7,3,1,6,5,2,5,5,4,3,3.5,5,5,5,4,5,4.5,3,4,3.5,,,4,5,5,4,5,3,42,1,1,nothing :),A rabbit,I don't see any of those things,An old woman,A mask
3/1/23 9:12,3/1/23 9:21,572,1,R_1lz1JM8EYi289mb,41,2,3,4,5,4,4,2,3,5,4,7,1,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,7,7,7,5,32,1,5,Thank you!,I don't see any of those things,An old woman,I don't see any of those things,A mask
3/1/23 9:12,3/1/23 9:18,302,1,R_3fNNIxcuCLnLX16,42,3,2,3,1,2,1,4,4,4,1,1,7,7,6,7,6,1,6,4,4,4,4,4,4,4,4,4,4,4,4,2,2,,,2,2,4,4,38,2,5,no,I don't see any of those things,An old woman,Kissing animals,A wolf
3/1/23 9:13,3/1/23 9:20,420,1,R_2Wu0N0UBDhqfgIs,43,2,5,4,5,3,5,4,2,5,4,5,1,2,3,6,7,5,7,6,6,6,6,6,6,5,5,5,5,4,4.5,6,5,,,6,5,6,5,68,1,5,No,A mask,I don't see any of those things,An old woman,Fire
3/1/23 9:13,3/1/23 9:20,414,1,R_3lrVubfD989ub7m,44,2,5,2,5,2,4,2,1,5,4,6,2,1,5,6,2,5,3,5,4,4.5,5,5,5,4,6,5,4,5,4.5,,,7,6,6,7,5,3,45,2,5,I think I am interested in the person who answered differently most of the time because I'm curious as to what their personality is like.,A mask,Kissing animals,A mustache,A wolf
3/1/23 9:13,3/1/23 9:19,345,1,R_1mXjeCLBkTekqZJ,45,2,2,3,2,2,2,3,2,2,2,4,3,4,3,5,4,4,7,5,4,4.5,6,5,5.5,4,4,4,4,4,4,,,3,4,4,3,5,3,63,1,5,no,An X-Ray,Poodles,Kissing animals,Fire
3/1/23 9:14,3/1/23 9:25,688,1,R_1n8Vl900GNlvGkZ,46,4,4,1,3,2,2,3,2,4,3,3,2,2,5,3,1,5,6,5,5,5,5,5,5,4,4,4,4,4,4,,,4,5,5,4,5,3,28,2,5,,I don't see any of those things,A mustache,I don't see any of those things,A wolf
3/1/23 9:14,3/1/23 9:23,530,1,R_3GD2Re9wwSr33kk,47,2,4,1,4,1,4,1,1,5,4,5,3,2,7,4,1,5,3,5,5,5,5,6,5.5,4,4,4,4,3,3.5,6,4,,,6,4,6,3,23,2,2,,An X-Ray,Poodles,Kissing animals,I don't see any of those things
3/1/23 9:14,3/1/23 9:22,464,1,R_1NleE8QjpS8l6g0,48,1,3,1,3,4,3,1,4,2,3,5,4,1,7,3,1,5,1,2,1,1.5,4,4,4,4,4,4,2,1,1.5,4,4,,,4,4,4,4,37,2,5,,A rabbit,A mustache,I don't see any of those things,A wolf
3/1/23 9:15,3/1/23 9:21,381,1,R_2X70MYvyyls2ijZ,49,2,3,2,1,2,3,2,2,3,2,1,6,2,5,6,5,2,7,6,6,6,6,6,6,3,5,4,3,3,3,,,5,6,6,5,5,3,34,2,5,I don't think the other participants were real.,A rabbit,I don't see any of those things,Poodles,I don't see any of those things
3/1/23 9:15,3/1/23 9:27,707,1,R_3NWGA2sAzdkJdN8,50,5,5,4,1,1,1,2,1,3,1,6,6,6,6,6,6,6,6,7,7,7,7,7,7,5,6,5.5,5,6,5.5,7,4,,,7,4,7,4,74,1,5,n/a,A rabbit,Kissing animals,I don't see any of those things,A wolf
3/1/23 9:16,3/1/23 9:23,459,1,R_sS7CA70L3e9H42Z,51,3,3,3,4,2,4,4,2,4,3,5,3,4,3,5,6,5,2,6,6,6,5,4,4.5,4,4,4,5,4,4.5,6,6,,,6,6,5,4,49,2,1,Good luck with your study!,A mask,An old woman,Poodles,A mask
3/1/23 9:16,3/1/23 9:21,300,1,R_1rpilFfjgNzTCj0,52,4,2,1,1,4,1,1,1,2,1,5,1,1,7,5,1,7,6,5,6,5.5,5,4,4.5,4,3,3.5,5,5,5,,,2,3,3,2,4,2,37,1,5,Talking to strangers is pretty much never on my want-to-do list :),An X-Ray,Poodles,A mustache,A wolf
3/1/23 9:16,3/1/23 9:21,285,1,R_RVSHgAlB2whF1nz,53,3,2,2,2,3,2,3,2,2,3,3,2,6,4,5,5,3,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,,6,6,6,6,53,2,5,,A rabbit,Kissing animals,A mustache,I don't see any of those things
3/1/23 9:16,3/1/23 9:22,341,1,R_296VZ0pZBqWngVV,54,2,3,1,1,2,1,2,1,3,4,3,4,5,6,4,5,2,7,5,4,4.5,6,4,5,6,4,5,5,4,4.5,,,5,6,6,5,5,4,27,1,5,,An X-Ray,A mustache,Poodles,I don't see any of those things
3/1/23 9:16,3/1/23 9:23,395,1,R_3qscQkuudABwCTo,55,2,4,2,3,3,1,1,1,5,1,3,4,1,4,4,2,6,6,5,5,5,5,5,5,5,6,5.5,4,5,4.5,,,7,6,6,7,7,5,28,2,1,,A mask,An old woman,I don't see any of those things,A butterfly
3/1/23 9:16,3/1/23 9:21,274,1,R_2wjmXaw3LB1eMcG,56,2,4,2,4,1,2,3,3,5,2,3,2,6,5,6,3,5,6,6,5,5.5,5,6,5.5,4,4,4,5,4,4.5,6,3,,,6,3,6,2,22,1,5,,A pelvis,I don't see any of those things,An old woman,I don't see any of those things
3/1/23 9:17,3/1/23 9:23,380,1,R_3fVvqBhzJsv6Cth,57,2,3,2,3,2,2,2,1,3,1,2,3,4,4,6,2,5,7,4,4,4,4,4,4,4,4,4,4,4,4,,,5,4,4,5,5,4,60,2,5,no,A mask,Poodles,Kissing animals,A wolf
3/1/23 9:17,3/1/23 9:25,489,1,R_2ALoKpI6aAyIeXH,58,2,3,1,2,4,4,2,3,4,3,4,4,6,6,4,3,2,4,5,5,5,6,5,5.5,6,5,5.5,4,5,4.5,,,4,4,4,4,5,4,35,2,5,,A rabbit,Kissing animals,A mustache,A butterfly
3/1/23 9:17,3/1/23 9:28,679,1,R_2SABVmFBCIzNWsx,59,1,1,2,2,1,3,3,3,2,2,3,5,6,2,2,6,1,3,5,5,5,5,5,5,4,5,4.5,3,4,3.5,,,4,5,5,4,5,4,26,1,2,,A pelvis,Poodles,I don't see any of those things,A butterfly
3/1/23 9:17,3/1/23 9:24,403,1,R_25KJlZyzuMyUgW3,60,3,5,1,3,3,3,3,1,5,3,4,5,3,4,6,5,7,6,4,1,2.5,4,1,2.5,4,1,2.5,4,1,2.5,,,1,1,1,1,1,1,35,1,1,,A rabbit,I don't see any of those things,Poodles,Fire
3/1/23 9:17,3/1/23 9:27,611,1,R_PILESnsK0lMe0Dv,61,3,4,3,3,1,3,3,3,5,4,5,1,5,4,5,4,5,4,4,4,4,5,5,5,4,4,4,4,4,4,,,5,5,5,5,5,4,35,1,5,,A rabbit,An old woman,Poodles,A mask
3/1/23 9:17,3/1/23 9:23,381,1,R_1DS7OMTn8w3BkST,62,2,2,3,2,3,2,2,2,2,2,4,5,3,4,3,3,4,6,5,4,4.5,5,4,4.5,4,4,4,4,4,4,5,3,,,5,3,5,3,27,2,5,,A pelvis,Kissing animals,A mustache,Fire
3/1/23 9:17,3/1/23 9:23,347,1,R_8GIK7zECdShj6Lf,63,2,3,1,2,2,2,1,3,2,2,2,3,5,5,5,6,2,7,6,5,5.5,6,5,5.5,5,5,5,5,5,5,5,5,,,5,5,6,5,27,1,5,,A mask,Kissing animals,I don't see any of those things,A butterfly
3/1/23 9:17,3/1/23 9:24,417,1,R_2rxftf92j73c5Gy,64,2,3,2,3,2,4,2,4,4,4,5,2,5,6,3,3,5,3,5,5,5,6,6,6,5,5,5,4,4,4,,,4,6,6,4,5,3,31,2,5,,I don't see any of those things,I don't see any of those things,Poodles,A butterfly
3/1/23 9:17,3/1/23 9:28,670,1,R_332qV2mRSbvtQZm,65,3,2,5,3,1,2,5,5,4,2,5,2,7,5,6,7,3,7,5,4,4.5,5,5,5,5,5,5,5,4,4.5,4,4,,,4,4,5,4,68,1,5,No,A pelvis,I don't see any of those things,A mustache,I don't see any of those things
3/1/23 9:17,3/1/23 9:25,462,1,R_1M0xQNofgdMT8vD,66,2,4,2,3,3,3,1,4,4,4,4,2,5,7,5,2,2,6,4,3,3.5,4,4,4,4,3,3.5,4,4,4,3,2,,,3,2,3,2,18,1,3,I genuinely felt a slight discomfort at having a chat. I also thought that the other two people didn't really exist.,An X-Ray,An old woman,A mustache,A mask
3/1/23 9:18,3/1/23 9:23,323,1,R_2TZQBxaLK1Jine1,67,4,4,2,2,3,2,4,2,3,1,2,3,3,3,5,3,6,1,5,6,5.5,5,7,6,4,3,3.5,4,4,4,,,3,6,6,3,7,2,29,2,2,,I don't see any of those things,A mustache,I don't see any of those things,A butterfly
3/1/23 9:18,3/1/23 9:25,438,1,R_2rC1CkC5hlT0TnZ,68,1,5,1,1,5,1,1,5,4,1,4,1,7,7,7,7,1,7,1,1,1,5,5,5,7,5,6,1,1,1,,,4,4,4,4,5,5,30,1,6,,A mask,Kissing animals,An old woman,Fire
3/1/23 9:18,3/1/23 9:23,298,1,R_XZJoBRdS6ZDYUtH,69,2,3,2,3,1,2,2,2,4,4,5,2,6,5,5,3,5,7,6,6,6,6,6,6,5,5,5,5,5,5,,,5,6,6,5,5,3,33,2,5,n/a,I don't see any of those things,Poodles,Kissing animals,A mask
3/1/23 9:18,3/1/23 9:25,438,1,R_1CjTLXv7v1g5w4u,70,4,4,4,3,4,5,3,4,3,4,3,2,6,1,5,3,5,6,5,6,5.5,6,6,6,6,7,6.5,5,5,5,6,6,,,6,6,6,5,32,2,3,,A pelvis,Poodles,An old woman,A wolf
3/1/23 9:18,3/1/23 9:26,493,1,R_3oWVVGBMATZ8AfM,71,2,2,2,4,3,2,1,2,4,2,4,3,5,5,5,4,3,6,5,5,5,5,5,5,4,4,4,4,3,3.5,5,4,,,5,4,5,4,34,1,5,,A rabbit,Kissing animals,An old woman,A wolf
3/1/23 9:18,3/1/23 9:22,246,1,R_1ohuOPWHAX49PBM,72,2,1,2,3,4,1,2,2,3,1,2,6,5,6,6,1,5,7,6,6,6,6,6,6,3,2,2.5,2,3,2.5,,,3,6,6,3,6,2,33,1,5,,A mask,An old woman,Poodles,Fire
3/1/23 9:19,3/1/23 9:27,475,1,R_26gtTsFvTXbxIBK,73,1,1,4,3,3,4,1,5,1,3,6,2,6,7,3,4,1,2,3,2,2.5,1,1,1,1,1,1,2,2,2,5,2,,,5,2,1,1,19,1,5,,I don't see any of those things,Poodles,Kissing animals,A mask
3/1/23 9:19,3/1/23 9:26,420,1,R_2QomWiEHJNdv3xB,74,3,2,1,2,3,4,1,2,2,3,3,3,3,7,3,1,5,3,5,6,5.5,6,6,6,4,5,4.5,3,5,4,,,3,6,6,3,7,2,21,1,3,very interesting study,A pelvis,Kissing animals,I don't see any of those things,A butterfly
3/1/23 9:19,3/1/23 9:24,326,1,R_2VPlHhe3pknCzPE,75,2,3,1,3,2,3,1,2,4,4,5,3,5,6,5,3,4,4,5,5,5,5,5,5,4,5,4.5,4,4,4,5,4,,,5,4,5,4,44,1,2,,A mask,A mustache,I don't see any of those things,I don't see any of those things
3/1/23 9:19,3/1/23 9:29,587,1,R_3me3JkNNfQRciRH,76,2,4,3,4,3,4,1,2,4,2,2,1,6,6,6,3,4,7,4,3,3.5,5,3,4,4,4,4,3,2,2.5,,,2,2,2,2,4,3,70,1,5,,A rabbit,A mustache,Poodles,I don't see any of those things
3/1/23 9:19,3/1/23 9:26,405,1,R_1M6wUfFlFzXhVB3,77,4,4,2,4,2,3,3,3,4,4,1,1,2,6,5,3,5,7,6,6,6,5,5,5,5,5,5,4,4,4,,,4,6,6,4,6,4,20,1,3,,A rabbit,Kissing animals,A mustache,I don't see any of those things
3/1/23 9:19,3/1/23 9:26,384,1,R_3fq6OIK6AC69E35,78,3,4,2,3,3,3,2,1,5,3,2,3,3,5,5,5,5,3,5,5,5,5,5,5,4,4,4,4,4,4,,,4,5,5,4,5,4,26,2,5,,A mask,I don't see any of those things,An old woman,Fire
3/1/23 9:20,3/1/23 9:29,588,1,R_yqkLDrEZVxoIXsd,79,2,2,3,3,2,4,3,2,4,3,5,3,2,6,5,3,6,6,6,5,5.5,6,5,5.5,5,5,5,6,5,5.5,4,4,,,4,4,6,4,75,2,5,Interesting study,A rabbit,Poodles,Kissing animals,I don't see any of those things
