identifier,ip,start,stop,pid,sim_self_overall,sim_other_overall,dissim_self_overall,dissim_other_overall,sim_self_careerstage,sim_self_position,sim_self_division,sim_self_industry,sim_self_sociocultural,sim_other_careerstage,sim_other_position,sim_other_division,sim_other_industry,sim_other_sociocultural,dissim_self_careerstage,dissim_self_position,dissim_self_division,dissim_self_industry,dissim_self_sociocultural,dissim_other_careerstage,dissim_other_position,dissim_other_division,dissim_other_industry,dissim_other_sociocultural,expectation_similar,likely_convo,age,sex,country,usa_race,white,black_afam,am_ind_native,asian,pac_is,other,race_6_text,hisp_lat,background,mom,dad,language,language_text,proficiency,survey_trouble,employment,job_level,job level_TEXT,joblevel_split
R_2WOwoQ0u5M0lKpn,79.157.90.217,12/9/20 2:38,12/9/20 2:48,16,4,5,6,5,5,3,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,3,5,57,1,163,,,,,,,,,,163,163,163,6,"French, English, Portuguesse",5,1,1,3,,1
R_2QzEOIczwInrWM2,165.225.194.195,12/7/20 6:50,12/7/20 7:19,17,7,6,7,6,4,7,6,7,6,5,6,6,6,6,7,6,6,6,6,6,6,6,6,6,5,9,34,1,143,,,,,,,,,,143,143,143,6,Russian ,6,1,1,4,,2
R_Rk8qGhVCNJ8ZD2x,156.106.202.73,12/7/20 6:24,12/7/20 6:33,18,7,7,7,6,6,6,7,7,7,6,6,6,6,7,7,7,7,7,7,6,6,7,7,7,4,11,30,2,169,,,,,,,,,,137,137,17,6,Polish and German,7,1,1,5,,2
R_1dc6TDaRmhPNg93,188.162.163.35,12/7/20 8:24,12/7/20 8:30,19,7,7,7,5,6,2,3,7,7,6,3,4,7,7,7,7,6,5,3,3,4,7,4,4,4,11,30,2,143,,,,,,,,,,143,143,143,6,russian,7,1,1,4,,2
R_3QYJ4ihXzqmeYjI,91.192.15.78,12/11/20 9:50,12/11/20 9:57,20,7,7,6,5,7,5,4,5,6,6,5,6,6,7,4,3,6,7,5,5,5,5,6,4,5,11,42,1,65,,,,,,,,,,65,65,65,2,,6,1,1,3,,1
R_vuzEzQ51Rl2R6w1,90.187.47.53,12/11/20 10:17,12/11/20 10:22,21,6,6,5,4,6,6,5,7,6,7,6,6,7,5,2,4,3,3,4,3,4,3,3,4,5,6,35,1,65,,,,,,,,,,61,61,61,3,,7,1,1,1,,0
R_vCht9xebJ1QkUSZ,91.192.15.66,12/9/20 1:24,12/9/20 1:29,22,7,5,6,5,6,6,4,6,4,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,5,8,40,2,65,,,,,,,,,,138,138,138,6,Portuguese,6,1,1,4,,2
R_3e49EM8cqqkw8Yj,165.225.194.177,12/7/20 6:27,12/7/20 6:41,23,7,7,7,6,6,6,2,4,5,6,5,4,5,4,7,7,4,5,2,3,3,4,4,4,5,9,28,2,65,,,,,,,,,,143,143,143,6,Russian,7,1,1,5,,2
R_302xquF61WSVq4q,165.225.38.84,12/9/20 11:53,12/9/20 12:00,24,5,4,3,3,6,5,6,5,4,5,4,4,3,4,5,5,5,5,5,5,4,4,4,4,3,8,32,2,187,1,1,,,,,,,,183,,,6,Russian,7,1,1,2,,0
R_3rZecZfmAu5O2mW,104.129.196.59,12/13/20 20:07,12/13/20 20:14,25,6,5,6,5,6,4,5,5,2,5,5,5,5,6,6,6,6,4,6,5,5,5,2,5,5,8,55,1,187,1,1,,,,,,,,187,,,1,,7,1,1,4,,2
R_1o5f6t2NnjSw5rj,168.224.160.22,12/7/20 7:38,12/7/20 7:44,26,7,5,5,6,7,7,7,7,7,6,6,6,6,6,7,7,7,7,7,5,6,6,6,6,6,11,26,2,142,,,,,,,,,,142,142,142,6,Romanian,5,1,1,5,,2
R_3PsCZCVXtu315FG,91.192.15.73,12/7/20 7:04,12/7/20 7:49,27,3,3,3,3,3,3,2,2,3,2,2,2,2,2,6,6,7,7,5,6,6,7,7,5,2,11,33,1,65,,,,,,,,,,65,65,65,2,,6,1,1,4,,2
R_31ZwM7ypDDZl9j6,168.224.160.22,12/7/20 6:45,12/7/20 6:49,28,7,7,4,4,7,7,5,7,7,7,7,5,7,7,4,4,4,4,4,4,4,4,4,4,6,11,43,1,84,,,,,,,,,,84,84,84,4,,5,1,1,4,,2
R_1jIhuBAo4MU7erx,212.51.140.244,12/7/20 6:56,12/7/20 7:01,29,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,11,40,1,169,,,,,,,,,,169,169,169,2,,7,1,1,3,,1
R_23gJTdmg7byWCcI,148.168.40.128,12/7/20 6:46,12/7/20 6:49,30,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,46,2,187,1,1,,,,,,,,187,,,1,,7,1,1,3,,1
R_R1UBr3BGmtisKLT,77.109.191.167,12/7/20 13:34,12/7/20 13:38,31,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,11,35,1,169,,,,,,,,,,169,169,169,6,Swiss German,6,1,1,1,,0
R_1FD7zflLki0aw1h,91.192.15.77,12/7/20 7:15,12/7/20 7:21,32,7,7,4,4,7,4,6,7,6,5,7,7,7,7,3,5,1,5,5,4,4,4,4,4,5,10,38,1,62,,,,,,,,,,65,65,65,2,,5,2,1,3,,1
R_3kb4mQuQvg3wyel,79.203.234.139,12/7/20 7:01,12/7/20 7:05,33,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,11,46,1,65,,,,,,,,,,65,65,65,2,,7,1,1,2,,0
R_3GcBLv34otgbkb8,176.117.198.225,12/14/20 3:25,12/14/20 3:29,34,5,5,5,5,5,6,5,5,5,5,6,5,5,5,5,6,5,5,5,5,6,5,5,5,5,8,40,1,143,,,,,,,,,,143,143,143,6,Russian,6,1,1,3,,1
R_2tbWXCqvuyfU9sl,165.225.196.91,12/7/20 7:33,12/7/20 7:39,35,4,4,6,6,5,5,4,5,3,4,4,4,4,4,6,6,6,4,6,4,4,4,4,4,5,9,43,2,185,,,,,,,,,,187,187,187,1,,7,1,1,3,,1
R_1jBteDK2IQewc4m,109.235.136.244,12/7/20 6:40,12/7/20 6:46,36,6,6,5,5,6,6,7,3,5,6,6,6,4,6,5,4,5,3,4,5,5,5,5,5,3,8,41,2,65,,,,,,,,,,65,65,65,2,,4,2,1,5,,2
R_3O6tvn28ZzQPCTj,91.192.15.73,12/14/20 4:36,12/14/20 4:45,37,6,6,5,4,5,6,5,4,6,4,6,5,4,6,5,5,6,4,3,4,5,5,5,4,5,5,53,2,65,,,,,,,,,,65,65,65,2,,5,1,1,1,,0
R_OuKFIzP5WJX9Ts5,148.168.216.32,12/7/20 11:20,12/7/20 11:28,38,6,5,6,5,6,5,6,6,6,5,5,5,5,5,6,6,6,6,6,5,5,5,5,5,5,8,56,2,187,1,1,,,,,,,,187,,,1,,6,2,1,4,,2
R_8iYjOWbvzZQSgoN,195.244.239.72,12/7/20 7:37,12/7/20 7:45,39,6,6,6,6,4,5,3,6,4,6,5,4,4,5,6,6,5,6,6,5,5,4,6,5,5,10,23,2,65,,,,,,,,,,65,65,65,2,,5,1,1,5,,2
R_rdqsMDVg69kq7v3,89.151.45.68,12/7/20 7:03,12/7/20 7:25,40,3,3,5,4,3,4,4,3,4,4,4,5,4,5,3,4,5,4,5,5,4,4,3,3,2,11,38,2,137,,,,,,,,,,137,137,137,6,Polish,5,1,1,5,,2
R_2aRzECfFariysr5,91.192.15.66,12/10/20 4:58,12/10/20 5:04,41,5,4,5,4,6,6,6,6,4,4,4,4,4,4,6,6,4,2,4,4,4,4,4,4,5,10,48,1,48,,,,,,,,,,48,48,48,6,Danish,6,1,1,4,,2
R_3hbHnGSu46qdKy1,194.8.198.66,12/7/20 7:16,12/7/20 7:22,42,6,6,5,5,6,6,6,6,6,6,6,6,6,6,4,4,6,6,6,4,4,5,5,5,5,11,37,2,65,,,,,,,,,,65,65,65,2,,6,1,1,5,,2
R_2ZJFuCykt1MfM50,95.90.252.25,12/7/20 6:48,12/7/20 6:57,43,6,6,5,5,6,6,6,6,6,6,6,6,6,6,5,7,7,7,7,7,6,7,7,6,7,10,43,2,65,,,,,,,,,,76,76,76,6,Hungarian,5,1,1,4,,2
R_XHE5hgFsTJfyitz,91.192.15.77,12/7/20 7:04,12/7/20 7:11,44,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,11,62,2,65,,,,,,,,,,65,65,65,2,,5,1,1,5,,2
R_3pqYXx8cj4pyLgx,193.116.84.113,12/7/20 9:23,12/7/20 9:32,45,1,3,2,3,3,2,3,3,5,3,3,3,3,3,3,2,2,2,2,3,2,2,2,2,2,2,46,1,9,,,,,,,,,,82,82,82,1,,6,1,1,3,,1
R_blJ1Th5AUVXVsSB,148.168.96.25,12/7/20 6:40,12/7/20 6:48,46,5,3,5,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,5,5,5,5,5,4,9,50,2,187,1,1,,,,,,,,187,,,1,,7,1,1,6,I'm an Admin Assistant but would not consider entry level position,
R_1r3tRQx0yNIr6MX,165.225.125.76,12/7/20 21:50,12/7/20 22:10,47,7,6,4,4,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,5,8,36,1,78,,,,,,,,,,78,78,78,6,Bengali,5,1,1,3,,1
R_CmLttYJNZ17EGkx,87.172.74.46,12/7/20 7:03,12/7/20 7:06,48,7,7,7,5,5,6,5,6,6,4,4,4,4,4,6,6,6,6,6,4,4,4,4,4,7,11,41,1,65,,,,,,,,,,65,65,65,2,,6,1,1,2,,0
R_2U5iYcCr2MiFOLo,146.90.87.210,12/8/20 5:33,12/8/20 5:38,49,4,3,7,6,6,5,5,5,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,3,9,30,2,185,,,,,,,,,,121,121,121,6,Nepalese,7,1,1,5,,2
R_308H6tJ6ghpESPz,168.224.160.22,12/8/20 5:35,12/8/20 5:37,50,3,3,7,7,5,6,4,5,5,5,4,5,4,4,6,7,6,7,7,6,7,6,6,6,3,8,41,1,179,,,,,,,,,,179,179,179,6,Turkish,7,1,1,2,,0
R_2ZPtK3d1YTW9owa,194.53.167.6,12/7/20 8:04,12/7/20 8:09,51,5,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10,48,2,122,,,,,,,,,,122,122,122,6,Dutch,4,1,1,6,call center agent,
R_cIRdKj2UTg8a0PD,71.233.64.144,12/8/20 8:42,12/8/20 8:50,52,7,5,7,6,6,6,6,7,7,5,5,6,6,7,5,5,6,6,7,5,5,5,5,5,4,10,29,1,187,1,1,,,,,,,,65,,,2,,5,1,1,4,,2
R_1JKklRhCUt91eG0,168.224.160.21,12/7/20 6:40,12/7/20 6:44,53,7,4,7,4,7,7,7,7,7,5,5,5,5,5,7,7,7,7,7,5,5,5,5,5,4,10,29,2,45,,,,,,,,,,179,179,179,6,Turkish,6,1,1,5,,2
R_3Du5LdlM9fu6Kfr,91.192.15.69,12/10/20 3:26,12/10/20 3:31,54,5,3,4,3,5,5,7,5,6,4,4,3,6,6,6,7,6,3,4,6,4,5,5,5,3,8,40,2,48,,,,,,,,,,163,163,163,5,,6,1,1,4,,2
R_2uErjy0RBoklVHy,212.121.145.5,12/7/20 7:12,12/7/20 7:17,55,6,6,7,6,5,5,6,6,6,5,5,5,5,5,5,4,4,4,6,3,3,4,4,5,6,11,34,1,65,,,,,,,,,,65,65,65,2,,5,1,1,3,,1
R_2PvAR04OvQeoigD,193.28.61.1,12/7/20 8:05,12/7/20 8:09,56,5,7,5,7,6,4,4,7,5,7,5,7,7,7,6,6,7,5,6,7,6,6,7,7,5,11,50,1,65,,,,,,,,,,65,65,65,2,,6,1,1,2,,0
R_33D7CguJ12zffHb,193.28.61.1,12/7/20 7:48,12/7/20 7:58,57,4,5,6,6,4,4,6,5,6,5,5,4,3,3,6,6,4,4,6,6,6,4,3,4,5,11,55,1,65,,,,,,,,,,65,65,65,2,,3,2,1,3,,1
R_PYZmfWZV27bauD7,77.171.229.37,12/7/20 7:44,12/7/20 7:50,58,5,5,7,7,5,5,5,6,5,5,5,5,6,5,5,6,7,7,5,6,5,6,7,6,3,10,55,1,122,,,,,,,,,,122,122,122,6,Dutch,7,1,1,4,,2
R_1ey2mGFpq6eARGq,148.168.96.25,12/10/20 8:03,12/10/20 9:25,59,6,6,6,6,5,5,5,5,5,5,5,5,5,5,6,7,7,6,7,5,5,5,5,5,5,9,56,2,187,1,1,,,,,,,,187,,,1,,7,1,1,3,,1
R_3L257cU5HCdgcIE,147.161.165.10,12/8/20 2:47,12/8/20 2:52,60,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,11,37,2,65,,,,,,,,,,65,65,65,2,,7,1,1,3,,1
R_1gFQjYpp0YNIGzU,12.127.79.142,12/7/20 7:24,12/7/20 7:30,61,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,6,11,59,2,187,1,1,,,,,,,,187,,,1,,7,1,1,3,,1
R_tY8vaxF8Io503p7,62.245.183.149,12/8/20 13:21,12/8/20 13:26,62,6,5,4,4,5,6,4,3,4,5,5,3,3,4,3,3,5,4,3,4,4,4,3,3,2,10,40,1,65,,,,,,,,,,65,65,65,2,,4,1,1,2,,0
R_3NR5tdDAWQ82nSp,91.192.15.78,12/10/20 0:05,12/10/20 0:10,63,7,7,7,7,6,5,6,5,6,6,6,6,6,6,6,6,7,6,6,7,6,7,6,7,4,9,38,1,65,,,,,,,,,,65,65,65,2,,7,1,1,4,,2
R_3HC9f01ZwlYYT5e,85.225.173.231,12/7/20 8:01,12/7/20 8:08,64,6,5,5,5,6,7,4,4,3,6,6,4,4,4,6,6,5,3,6,5,5,4,6,5,3,11,28,1,168,,,,,,,,,,168,168,168,6,Swedish,6,1,1,5,,2
R_3JdYVRgqsT8Nf3R,192.36.28.75,12/7/20 7:10,12/7/20 7:16,65,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,9,39,1,168,,,,,,,,,,168,168,168,6,Swedish,5,1,1,4,,2
R_2WYe4x1aj8zMc0f,86.80.249.225,12/7/20 8:01,12/7/20 8:06,66,5,5,6,6,4,5,5,5,2,3,3,4,4,4,5,5,4,5,6,4,3,6,4,5,5,9,31,1,122,,,,,,,,,,122,122,122,6,dutch,6,1,1,4,,2
R_0jk0dctPiXjTcSl,195.244.239.72,12/7/20 8:08,12/7/20 8:13,67,7,7,7,7,7,7,7,7,7,6,6,6,6,6,7,7,7,7,7,4,4,4,4,4,7,11,44,2,65,,,,,,,,,,65,65,65,2,,6,1,1,2,,0
R_2Bfim6VHGcLih6e,24.3.131.192,12/7/20 6:56,12/7/20 7:01,68,7,5,7,5,7,7,7,7,7,6,6,6,6,6,7,7,7,7,7,5,5,5,5,5,6,10,35,2,187,3,,,,,,,,1,24,,,6,Portuguese,7,1,1,5,,2
R_3hAVP649S24fFme,62.245.183.149,12/7/20 7:36,12/7/20 7:39,69,6,6,5,5,6,6,6,6,5,6,6,6,6,5,4,4,4,4,5,4,4,4,4,5,5,11,34,1,65,,,,,,,,,,65,65,65,2,,5,1,1,4,,2
R_302WuAcEvNcxwXO,213.52.102.88,12/7/20 7:49,12/7/20 7:54,70,7,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,11,41,2,128,,,,,,,,,,128,128,128,6,Norwegian,7,1,1,3,,1
R_3D8CN4EzShSBe7g,81.247.191.239,12/7/20 6:51,12/7/20 6:56,71,3,3,5,5,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,3,5,57,1,17,,,,,,,,,,17,17,17,3,,6,1,1,3,,1
R_1QEOzrDimX8PKmU,104.129.204.101,12/7/20 6:46,12/7/20 6:54,72,7,6,7,6,7,7,7,7,7,6,6,6,6,6,7,7,7,7,7,6,6,6,6,6,5,7,34,2,187,3,,,,,,,,1,187,,,5,,7,1,1,3,,1
R_2S7C6A0JhFgFVkD,91.192.15.66,12/9/20 1:52,12/9/20 1:59,73,4,4,7,7,3,7,3,5,2,4,4,4,4,4,7,3,7,4,6,4,4,4,4,4,4,6,25,2,65,,,,,,,,,,65,65,65,2,,4,1,1,4,,2
R_1jeSlYsbNXz6cKs,148.168.96.25,12/7/20 6:34,12/7/20 6:39,74,7,6,7,6,6,6,7,7,6,6,6,6,7,6,7,7,7,7,7,6,6,6,7,6,5,8,55,2,187,,,1,,,,,,,187,,,1,,7,1,1,3,,1
R_3p4HARUGeYn2itX,91.192.15.69,12/7/20 7:21,12/7/20 7:30,75,6,6,5,5,6,5,5,6,5,6,5,6,6,6,5,5,4,4,4,5,4,4,4,4,2,11,35,2,65,,,,,,,,,,65,65,65,2,,7,1,6,4,,2
R_tLO9ydcRbmVVXOx,62.245.183.149,12/7/20 9:05,12/7/20 9:11,76,6,6,7,7,6,6,6,6,5,6,6,6,6,6,7,7,7,6,6,7,7,7,6,6,4,8,53,2,65,,,,,,,,,,65,65,65,2,,6,1,1,2,,0
R_0eQ5bJMIwuqU6hr,165.225.8.81,12/11/20 9:51,12/11/20 9:56,77,6,5,6,5,6,6,4,6,5,5,4,3,6,4,6,6,6,5,6,6,5,5,5,5,3,9,50,1,187,1,1,,,,,,,,137,,,2,,7,1,1,2,,0
R_3EyApSwqzVaMufM,148.168.40.128,12/11/20 9:22,12/11/20 9:27,78,7,6,6,4,7,7,5,5,5,5,5,5,5,5,3,3,3,5,5,3,3,3,3,3,5,8,37,2,187,1,1,,,,,,,,187,,,1,,7,1,1,4,,2
R_0fC5PbrtmDNzGnv,165.225.73.34,12/7/20 8:10,12/7/20 8:14,79,6,6,6,6,5,6,5,3,6,7,7,5,3,5,5,7,7,6,5,6,6,3,3,3,4,11,30,2,65,,,,,,,,,,65,65,65,2,,7,1,1,4,,2
R_yUXgoZuFi582mWZ,148.168.96.25,12/7/20 10:57,12/7/20 11:04,80,7,7,7,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,5,2,2,4,11,57,2,187,,,1,,,,,,,187,,,1,,7,1,1,3,,1
R_RmjlnSxW3D4RmHT,195.81.84.68,12/8/20 1:48,12/8/20 2:00,81,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,11,62,2,65,,,,,,,,,,185,185,185,1,,7,1,1,3,,1
R_3P7tpHhte34qioY,192.36.28.75,12/8/20 0:07,12/8/20 0:16,82,6,6,7,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,5,5,5,5,5,5,10,49,1,168,,,,,,,,,,185,168,168,6,Native English and Swedish ,7,1,1,3,,1
R_1CpBrfV9NSziqeW,194.127.254.200,12/8/20 1:46,12/8/20 2:04,83,7,6,7,6,7,7,7,7,4,6,6,6,6,4,4,4,7,7,6,6,6,6,6,6,3,11,49,1,65,,,,,,,,,,65,65,65,2,,4,2,1,4,,2
R_2dKOYISlyYpT0lw,62.6.155.83,12/7/20 7:38,12/7/20 7:44,84,7,7,4,7,7,7,7,7,7,7,7,7,7,7,4,4,4,4,4,7,7,7,7,7,4,11,52,2,65,,,,,,,,,,65,65,65,2,,4,1,1,3,,1
R_3JKKCF7vBJJXSLP,165.225.194.78,12/7/20 7:08,12/7/20 7:16,85,7,7,5,4,7,7,6,6,6,7,7,6,6,6,6,6,6,4,7,6,6,5,4,7,4,10,56,2,65,,,,,,,,,,65,65,65,6,English,5,1,1,6,,
R_3g1oUpqhYw5jjMn,195.244.239.72,12/8/20 6:31,12/8/20 6:36,86,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,9,39,2,65,,,,,,,,,,65,,,2,,5,1,1,3,,1
R_1eOz4gf3fTVPaZ6,148.168.216.31,12/8/20 9:33,12/8/20 9:36,87,4,4,6,4,4,3,3,4,5,5,5,5,5,5,6,6,6,6,6,4,4,4,4,4,4,11,32,2,187,2,,,,1,,,,,187,,,1,,7,1,1,4,,2
R_AoqEcgRxBz8mZKF,87.123.203.251,12/7/20 7:34,12/7/20 7:38,88,6,6,7,5,5,7,6,7,4,5,7,6,7,5,4,5,7,7,4,4,5,6,4,6,6,8,35,1,65,,,,,,,,,,65,65,65,2,,7,1,6,1,,0
R_24q3wnLSC9vngQl,185.39.104.65,12/7/20 8:11,12/7/20 8:23,89,6,6,7,7,5,5,5,5,5,5,5,5,5,5,7,7,7,7,6,7,7,7,7,6,4,10,59,2,65,,,,,,,,,,65,65,65,2,,5,1,1,2,,0
R_zUnpXq7GkdHPVcJ,109.235.136.244,12/7/20 8:02,12/7/20 8:32,90,7,7,4,4,5,5,5,5,6,5,5,5,5,5,3,3,4,2,2,3,3,4,2,2,4,10,45,1,65,,,,,,,,,,65,65,65,2,,4,2,1,5,,2
R_31RdvESjLV6zJiK,194.53.167.7,12/7/20 8:26,12/7/20 8:30,91,5,4,5,4,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,9,33,1,122,,,,,,,,,,122,122,122,6,dutch,7,1,1,4,,2
R_3DqAuNmOvBsdfCp,213.127.125.31,12/8/20 0:11,12/8/20 0:15,92,7,6,6,6,7,7,7,7,7,6,6,6,6,6,7,7,7,7,7,6,6,6,6,6,5,11,33,1,122,,,,,,,,,,9,9,9,1,,7,1,1,3,,1
R_cw2t4skS6s13A7T,93.207.236.99,12/7/20 6:54,12/7/20 7:00,93,6,5,7,4,5,6,5,4,5,4,4,4,4,4,2,2,7,7,7,4,4,4,4,4,5,9,0,3,65,,,,,,,,,,65,65,65,2,,5,1,1,2,,0
R_3KuW61ru89DYcTf,156.106.202.73,12/7/20 6:29,12/7/20 6:40,94,7,6,5,5,7,5,3,6,7,7,6,4,4,4,6,6,4,4,3,5,4,5,4,5,4,11,55,1,169,,,,,,,,,,187,187,187,1,,7,1,1,3,,1
R_3hAXD4GebId6JkG,165.225.9.68,12/8/20 5:58,12/8/20 6:15,95,7,7,6,3,7,7,7,3,7,3,3,1,5,7,6,6,1,2,5,5,5,2,2,7,1,11,35,2,187,,,1,,,,,,,187,,,1,,7,1,1,5,,2
R_3HtwSL7Q2jp9FyZ,93.41.38.145,12/7/20 6:29,12/7/20 6:33,96,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,11,33,1,84,,,,,,,,,,185,185,185,1,,7,1,1,4,,2
R_2rAEmMinwWbwOUJ,148.168.40.122,12/14/20 9:17,12/14/20 9:35,97,7,5,7,7,7,6,6,6,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,4,10,28,2,37,,,,,,,,,,37,37,37,5,,7,1,1,4,,2
R_8AC306PH6xxg1cl,85.255.232.49,12/11/20 2:14,12/11/20 2:20,98,6,6,6,6,5,5,6,6,4,6,5,6,6,4,6,5,4,5,6,6,4,4,5,4,5,9,32,2,185,,,,,,,,,,37,37,37,5,,6,1,6,4,,2
