startdate,enddate,responseId,participant_id,check_choose_avatar,attention_check,exclude,condition,black_white,female_male,dissim_self,dissim_other,sim_self,sim_other,dissim_choice,sim_choice,dissim_similar,sim_similar,age,sex,race,feedback
9/27/21 9:06,9/27/21 9:11,R_1mmzWI80uBDKJXQ,wm_18,1,5,0,w_m,white,male,7,5,7,5,1,1,3,6,20,1,5,Really interesting survey. Enjoyed it very much.
9/27/21 9:08,9/27/21 9:18,R_2fqc53fP8wq2K7A,wm_19,1,5,0,w_m,white,male,5,4,5,4,1,1,4,4,60,1,5,I was getting worried I might actually have to talk to them. I don't have a microphone.
9/27/21 9:14,9/27/21 9:19,R_3nH5nzRWWfHPlyc,wm_20,1,5,0,w_m,white,male,2,2,2,2,1,1,4,4,30,1,5,
9/27/21 9:19,9/27/21 9:22,R_eCJoezp761acT61,wm_21,1,5,0,w_m,white,male,4,4,4,4,1,1,4,4,49,1,5,no
9/27/21 9:22,9/27/21 9:26,R_3je4QGDthKyOzrW,wm_22,1,5,0,w_m,white,male,4,3,4,4,2,2,3,4,18,1,5,no thank you
9/27/21 9:23,9/27/21 9:28,R_2rkcLniBACWisoa,wm_23,1,5,0,w_m,white,male,5,5,5,5,1,2,3,5,43,1,5,no
9/27/21 9:26,9/27/21 9:28,R_20Ng7PHO62uGucI,wm_24,1,5,0,w_m,white,male,5,3,5,3,1,1,2,4,31,1,5,
9/27/21 9:27,9/27/21 9:31,R_1nO6xF61UBFUZOw,wm_25,1,5,0,w_m,white,male,7,5,5,5,1,1,4,7,26,1,5,
9/27/21 9:29,9/27/21 9:34,R_scdzzazFzot4GMV,wm_26,1,5,0,w_m,white,male,5,4,5,4,1,1,3,5,20,1,5,
9/27/21 9:32,9/27/21 9:35,R_27dLCdC46zmnNQU,wm_27,1,5,0,w_m,white,male,7,7,7,7,1,1,5,5,28,1,5,
9/27/21 9:32,9/27/21 9:36,R_2fy8yVCqXzf7fN1,wm_28,1,5,0,w_m,white,male,4,4,4,4,1,1,3,5,35,1,5,"There were 24 potential avatars, but when I chose number 24 it gave an error message and told me I can only pick numbers 1-23."
9/27/21 9:32,9/27/21 9:37,R_1MM5viULX44fjwz,wm_29,1,5,0,w_m,white,male,6,4,5,4,1,2,3,5,35,1,5,
9/27/21 9:40,9/27/21 9:43,R_yL68N0RA5oha8yl,wm_30,1,5,0,w_m,white,male,5,4,5,4,1,1,5,6,21,1,5,
9/27/21 9:42,9/27/21 9:46,R_4SLtDTRivTvP7cR,wm_31,1,5,0,w_m,white,male,6,3,4,4,1,2,3,5,32,1,5,
9/27/21 9:46,9/27/21 9:50,R_3EbwtXyl5BP3rNc,wm_32,1,5,0,w_m,white,male,6,3,5,3,1,2,2,4,20,1,5,
9/27/21 9:51,9/27/21 9:54,R_2RPTcEtgd87jbfj,wm_33,1,5,0,w_m,white,male,2,2,2,2,1,2,4,4,24,1,5,
9/27/21 9:47,9/27/21 9:56,R_UnAYzZPDiFm6BAl,wm_34,1,5,0,w_m,white,male,4,4,4,4,1,1,4,5,37,1,5,"I was presented with 24 options for avatar. But when I tried to select avatar 24, I was given an error message similar to ""Please choose a number less than or equal to 23"". I ended up choosing avatar 1 as it was the next closest.
Later, it claimed participant 2 had selected avatar 24, which I knew was impossible. Although, I guess if the avatar selection was randomized it'd be possible. You should get that error corrected anyway."
9/27/21 9:55,9/27/21 10:00,R_3syVA3vrgLNC1Ef,wm_35,1,5,0,w_m,white,male,7,7,7,7,1,1,6,7,33,1,5,
9/27/21 9:59,9/27/21 10:03,R_2VdXIakP6EuTUiW,wm_36,1,5,0,w_m,white,male,4,4,4,4,1,1,4,4,48,1,5,
9/27/21 9:56,9/27/21 10:03,R_3iEk2SwKG0Ju2is,wm_37,1,5,0,w_m,white,male,5,5,5,5,1,1,5,6,36,1,5,
9/27/21 10:01,9/27/21 10:05,R_2cqgkvxW47p3izQ,wm_38,1,5,0,w_m,white,male,1,1,1,1,1,2,1,2,23,1,5,
9/27/21 10:02,9/27/21 10:07,R_12nYHDPc0Efktiz,wm_39,1,5,0,w_m,white,male,7,5,5,5,1,1,2,5,59,1,5,
9/27/21 10:07,9/27/21 10:10,R_oXcT53VkQnojDUZ,wm_40,1,5,0,w_m,white,male,7,5,5,5,1,1,3,5,25,1,5,N/A
9/27/21 10:07,9/27/21 10:11,R_vCuRKLZ985QPg6R,wm_41,1,5,0,w_m,white,male,5,5,5,5,1,1,5,5,31,1,5,
9/27/21 10:11,9/27/21 10:14,R_1l4vs32jXqQ2ndu,wm_42,1,5,0,w_m,white,male,3,3,3,3,2,2,3,3,37,1,5,
9/27/21 10:07,9/27/21 10:15,R_3edZLh2F9PfN0xX,wm_43,1,5,0,w_m,white,male,4,4,4,4,1,1,3,4,36,1,5,"I feel less ""similar"" to the first indivisible based on the outfit. Choosing to select a suit and tie makes me feel that the person is likely to either work in a business setting, which I do not, or dress is a part of their identity that they are projecting,which does not match well with me. On the other hand, the second picture matches more closely to what I chose to represent myself, which gives me the idea that we may at least have a generally similar attitude in how we choose to present ourselves to others. This does not suggest that we have similar views on anything else though, which is why I chose to only go one past neutral."
9/27/21 10:12,9/27/21 10:17,R_111NxY8pPi2aoHK,wm_44,1,5,0,w_m,white,male,3,1,3,1,2,2,4,4,39,1,5,
9/27/21 10:13,9/27/21 10:17,R_1QhG6RS61ZB10hB,wm_45,1,5,0,w_m,white,male,6,4,5,4,1,1,3,5,35,1,5,
9/27/21 10:15,9/27/21 10:20,R_3e9thYRPj5u7334,wm_46,1,5,0,w_m,white,male,1,1,1,1,2,2,1,1,28,1,5,
9/27/21 10:18,9/27/21 10:22,R_3no9uYAZMOWuemP,wm_47,1,5,0,w_m,white,male,4,3,3,3,1,1,3,4,34,1,5,
9/27/21 10:18,9/27/21 10:23,R_2ToZfxc4PnSgZSo,wm_48,1,5,0,w_m,white,male,3,3,3,3,1,1,2,2,32,1,5,
9/27/21 10:22,9/27/21 10:25,R_33dl54EwiJ1H29r,wm_49,1,5,0,w_m,white,male,2,2,2,2,2,2,3,4,37,1,5,
9/27/21 10:14,9/27/21 10:27,R_1I4rLCdDnJX0PEJ,wm_50,1,5,0,w_m,white,male,5,5,5,4,1,1,3,6,29,1,5,
9/27/21 10:22,9/27/21 10:27,R_2qfsmqMHopttHlF,wm_51,1,5,0,w_m,white,male,5,3,5,3,1,1,5,5,41,1,5,Thanks for considering my submission. 
9/27/21 10:25,9/27/21 10:28,R_1dy6YNE2ttdJIni,wm_52,1,5,0,w_m,white,male,4,4,4,4,2,2,3,4,28,1,5,
9/27/21 10:32,9/27/21 10:36,R_3Jrb574Hwuaj62W,wm_53,1,5,0,w_m,white,male,6,4,6,5,1,1,3,5,23,1,5,"Cool study!

Kind of guessed that I wouldn’t really be talking some one. I presume this is about race?"
9/27/21 10:33,9/27/21 10:39,R_3m29yojIpOfl3D2,wm_54,1,5,0,w_m,white,male,1,1,1,1,2,2,1,3,22,1,5,"I suspected that I wouldn't actually be connected to talk to anyone (I'm a software engineer, and know that developing a chat system that matched people together would probably be prohibitive for a single study), but I still felt intense social anxiety at the prospect of having to chat with a stranger at all. That's the main drive for not wanting to get to know either ""participant"""
9/27/21 10:37,9/27/21 10:40,R_2PiJi3J2E3Q24QC,wm_55,1,5,0,w_m,white,male,4,4,4,4,1,1,4,4,23,1,5,
9/27/21 10:35,9/27/21 10:41,R_28SXJykuDrum4ha,wm_56,1,5,0,w_m,white,male,3,1,2,1,1,2,1,4,25,1,5,
9/27/21 10:42,9/27/21 10:46,R_XZkrBQdP8TbAn3H,wm_57,1,5,0,w_m,white,male,6,5,5,6,1,1,4,4,71,1,5,no
9/27/21 10:45,9/27/21 10:49,R_7ZIvYhzbvE5FpQJ,wm_58,1,5,0,w_m,white,male,3,2,2,2,1,1,2,3,22,1,5,
9/27/21 10:42,9/27/21 10:59,R_1f0Zrmilx8FdX7F,wm_59,1,5,0,w_m,white,male,6,6,6,6,1,1,6,6,35,1,5,Not really. Thank you
9/27/21 11:00,9/27/21 11:07,R_1doVTb7BGqRe8n2,wm_60,1,5,0,w_m,white,male,5,5,5,5,1,1,2,6,21,1,5,"When shown pictures of the avatars to choose from, I was shown 1-24, but was only allowed to select up to 23. I’m not sure if this was an intended aspect of the experiment but it was slightly confusing"
9/27/21 7:48,9/27/21 7:52,R_3dNcvI3Hma0gG3S,wm_67,5,5,0,w_m,white,male,2,2,1,1,2,2,4,4,49,1,5,
9/27/21 7:51,9/27/21 7:54,R_3r1It4NHjOmCEAT,wm_68,5,5,0,w_m,white,male,3,2,2,2,2,2,1,6,42,1,5,
9/27/21 7:52,9/27/21 8:01,R_1pWGWj0TI1xqP2y,wm_69,5,5,0,w_m,white,male,4,3,7,5,2,1,3,6,41,1,5,
9/27/21 8:04,9/27/21 8:08,R_2rE4yogzUYdoosV,wm_70,5,5,0,w_m,white,male,1,1,1,1,2,2,5,3,40,1,5,
9/27/21 8:10,9/27/21 8:13,R_1rqqN1GMPDI77Iw,wm_71,5,5,0,w_m,white,male,5,3,2,1,1,1,1,5,43,1,5,
9/27/21 8:10,9/27/21 8:16,R_2X5U4hVXW5EgrCi,wm_72,5,5,0,w_m,white,male,6,6,6,5,1,1,6,5,39,1,5,
9/27/21 8:14,9/27/21 8:18,R_6DuXr0isLtEAJtT,wm_73,5,5,0,w_m,white,male,6,5,6,5,1,1,6,6,30,1,5,
9/27/21 8:18,9/27/21 8:22,R_3Db9FE49FZ5gIPg,wm_74,5,5,0,w_m,white,male,6,6,6,5,2,2,5,6,46,1,5,
9/27/21 8:20,9/27/21 8:25,R_3q8NOdV0EmAULnk,wm_75,5,5,0,w_m,white,male,3,3,3,3,2,2,3,3,46,1,5,
9/27/21 8:19,9/27/21 8:27,R_D762dvwpkWfJuOl,wm_76,5,5,0,w_m,white,male,2,2,2,2,1,1,3,3,25,1,5,No
9/27/21 8:24,9/27/21 8:29,R_DGeXF9nLItpqO8p,wm_77,5,5,0,w_m,white,male,5,5,4,5,1,1,5,4,46,1,5,no
9/27/21 8:23,9/27/21 8:30,R_CkT0ehuU1hNSEX7,wm_78,5,5,0,w_m,white,male,7,6,7,3,1,1,2,4,29,1,5,"Nothing really, but the survey was awesome"
9/27/21 8:27,9/27/21 8:31,R_2UWOTpbknenVgLi,wm_79,5,5,0,w_m,white,male,4,4,4,4,2,2,5,5,39,1,5,
9/27/21 8:29,9/27/21 8:32,R_3sglvbeNgqreaFp,wm_80,5,5,0,w_m,white,male,7,6,7,7,1,1,7,6,41,1,5,
9/27/21 8:20,9/27/21 8:32,R_2QYTbdQYQYjBO7o,wm_81,5,5,0,w_m,white,male,7,7,7,7,1,1,7,7,41,1,5,
9/27/21 8:32,9/27/21 8:36,R_2yqDnqJMEKHyjGt,wm_82,5,5,0,w_m,white,male,5,4,4,5,1,1,4,4,50,1,5,
9/27/21 8:31,9/27/21 8:36,R_1HnmPcqDgK21RIN,wm_83,5,5,0,w_m,white,male,6,5,7,6,1,1,4,6,43,1,5,no
9/27/21 8:31,9/27/21 8:39,R_2t7QPES8b0wXuxj,wm_84,5,5,0,w_m,white,male,5,4,4,3,1,2,5,4,36,1,5,
9/27/21 8:38,9/27/21 8:42,R_AA1kX76BavOKkyl,wm_85,5,5,0,w_m,white,male,6,6,7,5,2,1,5,6,43,1,5,
9/27/21 8:35,9/27/21 8:44,R_2DN4KPqyLj9GNxY,wm_86,5,5,0,w_m,white,male,5,4,5,4,1,1,4,5,44,1,5,
9/27/21 8:40,9/27/21 8:44,R_DBGWfxTkiQLWWCR,wm_87,5,5,0,w_m,white,male,4,4,4,4,1,1,4,4,60,1,5,I think my responses were self explanatory 
9/27/21 8:41,9/27/21 8:45,R_3Orm4SDWZEFJENQ,wm_88,5,5,0,w_m,white,male,4,4,4,4,1,1,4,4,25,1,5,
9/27/21 8:46,9/27/21 8:51,R_10x7NrMWjnbe3Dh,wm_89,5,5,0,w_m,white,male,2,2,2,3,1,2,2,5,38,1,5,
9/27/21 8:48,9/27/21 8:52,R_ABW8FFnO0xDEbpD,wm_90,5,5,0,w_m,white,male,3,3,3,3,1,1,3,5,34,1,5,"Nothing, good jorb with study. Give 5 stars, would take again :-)"
9/27/21 8:50,9/27/21 8:53,R_28HGecBKzgO5Y5Y,wm_91,5,5,0,w_m,white,male,7,4,7,4,1,1,4,4,38,1,5,
9/27/21 8:55,9/27/21 9:02,R_Ti3hFjYU8mlCNlT,wm_92,5,5,0,w_m,white,male,7,6,7,5,1,1,4,4,38,1,5,The survey was quite interesting 
9/27/21 9:00,9/27/21 9:13,R_2cj6zHEokQijP0t,wm_93,5,5,0,w_m,white,male,7,5,7,7,1,1,7,7,39,1,5,no
9/27/21 9:14,9/27/21 9:19,R_2cvGO4zgDPCYd9i,wm_94,5,5,0,w_m,white,male,5,5,5,3,1,2,5,3,55,1,5,
9/27/21 9:20,9/27/21 9:24,R_3sc63tkMUJH1w3X,wm_95,5,5,0,w_m,white,male,5,3,1,1,1,2,1,5,30,1,5,No
9/27/21 9:19,9/27/21 9:25,R_2B35cLxgidKqz1T,wm_96,5,5,0,w_m,white,male,3,2,3,4,2,2,4,5,40,1,5,No
9/27/21 9:18,9/27/21 9:25,R_3FOSYrkALvsRB8q,wm_97,5,5,0,w_m,white,male,6,6,5,6,1,1,2,7,47,1,5,
9/27/21 9:26,9/27/21 9:28,R_1DZvBbeo9eUzsBL,wm_98,5,5,0,w_m,white,male,7,7,6,6,2,2,6,6,45,1,5,
9/27/21 9:20,9/27/21 9:33,R_2cBemQU1TEXFLPi,wm_99,5,5,0,w_m,white,male,5,5,5,5,1,1,5,4,46,1,5,"The prospect of a random chat was strangely and terribly uncomfortable—I didn't expect to feel this way. On considering why, I realized just how rare it is to converse without some previous context and under the control of a third party. A bit eye-opening for me, even if not the intended purpose... so thanks."
9/27/21 9:29,9/27/21 9:35,R_2zLSmcq31Hoo6L4,wm_100,5,5,0,w_m,white,male,1,1,1,1,2,2,5,5,41,1,5,I don't know how useful my answers will be because I didn't particularly want to talk to anybody. Their avatars had nothing to do with my answers. 
9/27/21 9:32,9/27/21 9:36,R_33ebM2bJif4Jfrq,wm_101,5,5,0,w_m,white,male,5,5,5,5,1,1,5,5,43,1,5,nope
9/27/21 9:26,9/27/21 9:40,R_UZ4UNIWCyA8YbUl,wm_102,5,5,0,w_m,white,male,6,4,5,5,1,2,5,4,48,1,5,nice
9/27/21 9:37,9/27/21 9:40,R_2e9UuoHXBimthDG,wm_103,5,5,0,w_m,white,male,5,4,5,4,1,1,5,5,43,1,5,"Interesting, but chatting would have been fun!"
9/27/21 9:35,9/27/21 9:42,R_31syhVAB2AcNuW7,wm_104,5,5,0,w_m,white,male,5,5,6,6,1,2,5,6,29,1,5,this is good 
9/27/21 9:42,9/27/21 9:45,R_2XnD3f7eu4IeSm1,wm_105,5,5,0,w_m,white,male,3,3,3,2,1,1,2,3,25,1,5,
9/27/21 9:42,9/27/21 9:48,R_2XbapVMFxz1ogwE,wm_106,5,5,0,w_m,white,male,7,4,7,4,1,1,5,7,29,1,5,
9/27/21 9:37,9/27/21 9:49,R_1FTYM1XuuvdxCTv,wm_107,5,5,0,w_m,white,male,7,6,7,4,1,2,7,5,34,1,5,N/A
9/27/21 9:44,9/27/21 9:50,R_Dl5ZpMApuKylDl7,wm_108,5,5,0,w_m,white,male,3,3,3,3,1,1,4,4,46,1,5,
9/27/21 9:41,9/27/21 9:51,R_3EYxBaab3AHe0RH,wm_109,5,5,0,w_m,white,male,7,6,7,6,1,1,5,5,39,1,5,no please
9/27/21 9:49,9/27/21 9:51,R_1obEME0tI92NtBY,wm_110,5,5,0,w_m,white,male,1,1,1,1,1,1,3,3,34,1,5,
9/27/21 9:31,9/27/21 9:54,R_3QFcbbnvHW1dFDX,wm_111,5,5,0,w_m,white,male,6,6,5,6,1,1,6,6,39,1,5,nice survey
9/27/21 9:43,9/27/21 9:56,R_x9Pm8E4MbPGsnAZ,wm_112,5,5,0,w_m,white,male,5,5,5,6,1,1,5,5,49,1,5,no
9/27/21 9:43,9/27/21 9:58,R_3L0kp7lPTUH9B7s,wm_113,5,5,0,w_m,white,male,6,6,5,5,1,1,5,5,50,1,5,no
9/27/21 9:56,9/27/21 9:59,R_24d8MJYZHfgD45n,wm_114,5,5,0,w_m,white,male,2,3,2,3,1,1,4,4,29,1,5,
9/27/21 9:59,9/27/21 10:03,R_Y4vkdHtqRjjt5Sx,wm_115,5,5,0,w_m,white,male,4,4,4,4,1,1,4,5,50,1,5,
9/27/21 9:52,9/27/21 10:05,R_3kcBtLiEwMfAJMn,wm_116,5,5,0,w_m,white,male,7,7,7,7,1,1,3,4,30,1,5,
9/27/21 9:58,9/27/21 10:07,R_24nQVe7anYb0e0A,wm_117,5,5,0,w_m,white,male,6,5,7,5,1,1,4,3,38,1,5,
9/27/21 10:02,9/27/21 10:07,R_vBJ0SXqXHT3XQEV,wm_118,5,5,0,w_m,white,male,4,4,4,4,2,2,1,2,49,1,5,nope
9/27/21 10:07,9/27/21 10:12,R_2tEbiYY5eGAzaXa,wm_119,5,5,0,w_m,white,male,3,2,3,2,1,1,2,4,42,1,5,
9/27/21 10:09,9/27/21 10:13,R_2QnxT6LosNENLzk,wm_120,5,5,0,w_m,white,male,4,3,3,3,1,2,5,4,35,1,5,Interesting selection process
9/27/21 10:09,9/27/21 10:18,R_3KHF1YSm1WS3HmB,wm_121,5,5,0,w_m,white,male,6,5,6,5,1,1,6,4,44,1,5,"No,thanks."
9/27/21 10:21,9/27/21 10:25,R_1KjdUgHUdba0WU9,wm_122,5,5,0,w_m,white,male,3,2,2,2,1,1,4,4,34,1,5,
9/27/21 10:17,9/27/21 10:30,R_eFI7HYroBtFAyfT,wm_123,5,5,0,w_m,white,male,7,7,7,6,1,1,4,3,37,1,5,Its fun
9/27/21 10:26,9/27/21 10:30,R_3Kwki4hcOSbKJGh,wm_124,5,5,0,w_m,white,male,4,2,3,2,1,2,5,5,37,1,5,
9/27/21 10:26,9/27/21 10:30,R_24wwtNrN52cGn8E,wm_125,5,5,0,w_m,white,male,7,7,5,6,1,1,7,5,38,1,5,
9/27/21 10:28,9/27/21 10:32,R_25MYCb64fPg0dBc,wm_126,5,5,0,w_m,white,male,4,2,3,2,1,1,2,4,25,1,5,"Avatar #24 could not be selected, it told me you must pick a number between 1 and 23"
9/27/21 10:27,9/27/21 10:33,R_3MGqdZjv0X81Ppb,wm_127,5,5,0,w_m,white,male,5,5,7,4,1,1,5,4,44,1,5,
9/27/21 10:35,9/27/21 10:39,R_1LBsF9lxwF7Sup0,wm_128,5,5,0,w_m,white,male,7,6,7,6,1,1,7,6,43,1,5,
9/27/21 10:37,9/27/21 10:42,R_27U36wdWXoLF3qg,wm_129,5,5,0,w_m,white,male,4,3,2,2,1,2,2,1,56,1,5,n/a
9/27/21 10:39,9/27/21 10:43,R_1Q6gu2wdSjdOtrQ,wm_130,5,5,0,w_m,white,male,5,4,4,4,1,1,5,5,44,1,5,
9/27/21 10:40,9/27/21 10:43,R_1JOtVOc12R02cVL,wm_131,5,5,0,w_m,white,male,4,4,4,5,1,1,5,5,31,1,5,
9/27/21 10:41,9/27/21 10:45,R_1n0eIFcvF9UqMpd,wm_132,5,5,0,w_m,white,male,4,3,4,3,1,1,5,6,43,1,5,
9/27/21 10:42,9/27/21 10:46,R_2y1kmMt6xgETVvM,wm_133,5,5,0,w_m,white,male,5,5,5,5,1,1,5,6,35,1,5,I was actually a tiny bit disappointed that I didn’t get to talk to those two guys. I found myself looking forward to it. 
9/27/21 10:26,9/27/21 10:51,R_6JWHebxyHhzEyqd,wm_134,5,5,0,w_m,white,male,6,6,6,6,1,1,6,6,35,1,5,
9/27/21 10:47,9/27/21 10:54,R_1DD6xd91CNIAJc6,wm_135,5,5,0,w_m,white,male,6,6,5,6,1,1,4,3,26,1,5,Excellent study
9/27/21 10:43,9/27/21 11:01,R_1OkvxHubuFXhi64,wm_136,5,5,0,w_m,white,male,7,6,7,7,1,1,7,7,40,1,5,
9/27/21 10:48,9/27/21 11:09,R_3kG1moOxGMjeJft,wm_137,5,5,0,w_m,white,male,6,6,6,6,1,1,6,6,50,1,5,none
9/27/21 8:53,9/27/21 8:57,R_1K6zwuHaRCHPGM9,wm_138,6,5,0,w_m,white,male,3,5,2,5,1,2,2,5,31,1,5,
9/27/21 10:01,9/27/21 10:05,R_ZfnMxLCjAFSmtEZ,wm_139,6,5,0,w_m,white,male,6,6,6,7,1,1,6,6,41,1,5,good study.
9/27/21 10:36,9/27/21 10:38,R_1hHknKu6Q8jxMrb,wm_140,6,5,0,w_m,white,male,1,1,1,1,2,2,1,1,30,1,5,I'm a long haired dude. I'd like an avatar to select that is not a woman.
